year,month,day,hour,power,lat,lng,PRES,WND
2013,9,1,6,2,33.5,176.6,1002.0,18.0
2013,9,1,12,2,33.6,176.7,1002.0,18.0
2013,9,1,18,2,33.7,176.9,1002.0,18.0
2013,9,2,0,1,33.7,177.1,1004.0,15.0
2013,9,2,6,1,33.6,177.2,1004.0,15.0
2013,9,2,12,1,33.5,177.3,1004.0,15.0
2013,9,2,18,1,33.4,177.5,1004.0,15.0
2013,9,3,0,1,33.1,177.4,1004.0,15.0
2013,9,3,6,1,32.6,177.2,1006.0,13.0
2013,9,3,12,1,32.4,177.0,1006.0,13.0
2013,9,3,18,1,32.2,176.7,1008.0,13.0
2013,9,4,0,1,32.1,176.3,1008.0,13.0
2013,9,4,6,0,31.7,175.6,1010.0,10.0
2013,9,4,12,0,31.5,174.8,1012.0,10.0
2013,9,4,18,0,31.3,173.9,1012.0,10.0
2013,9,5,0,0,31.1,172.9,1012.0,10.0
2013,9,5,6,0,31.0,171.9,1012.0,10.0
