year,month,day,hour,power,lat,lng,PRES,WND
2014,7,25,6,1,12.0,226.0,1005.0,15.0
2014,7,25,12,1,12.0,225.0,1005.0,15.0
2014,7,25,18,1,11.9,224.5,1005.0,15.0
2014,7,26,0,1,12.0,224.1,1005.0,15.0
2014,7,26,6,1,12.1,223.8,1005.0,15.0
2014,7,26,12,1,12.2,223.3,1005.0,15.0
2014,7,26,18,1,12.4,222.5,1005.0,15.0
2014,7,27,0,1,12.4,221.2,1005.0,15.0
2014,7,27,6,1,12.4,220.3,1005.0,15.0
2014,7,27,12,1,12.4,219.4,1005.0,15.0
2014,7,27,18,1,12.4,217.9,1005.0,15.0
2014,7,28,0,1,12.5,216.5,1005.0,15.0
2014,7,28,6,1,12.7,215.5,1005.0,15.0
2014,7,28,12,1,12.9,214.4,1005.0,15.0
2014,7,28,18,1,12.8,213.5,1008.0,13.0
2014,7,29,0,1,12.8,213.1,1008.0,13.0
2014,7,29,6,1,12.9,212.8,1008.0,13.0
2014,7,29,12,1,12.9,212.5,1008.0,13.0
2014,7,29,18,1,12.9,212.0,1005.0,15.0
2014,7,30,0,1,13.0,211.7,1005.0,15.0
2014,7,30,6,1,12.9,211.3,1005.0,15.0
2014,7,30,12,1,12.8,210.7,1005.0,15.0
2014,7,30,18,1,12.8,210.1,1005.0,15.0
2014,7,31,0,1,12.8,209.9,1005.0,15.0
2014,7,31,6,1,12.9,209.8,1005.0,15.0
2014,7,31,12,1,13.0,209.5,1005.0,15.0
2014,7,31,18,1,13.0,209.2,1005.0,15.0
2014,8,1,0,1,12.9,208.8,1005.0,15.0
2014,8,1,6,1,12.8,208.3,1008.0,13.0
2014,8,1,12,1,12.8,207.8,1008.0,13.0
2014,8,1,18,1,12.5,207.3,1008.0,13.0
2014,8,2,0,1,12.4,206.3,1008.0,13.0
2014,8,2,6,1,12.0,205.5,1008.0,13.0
2014,8,2,12,1,11.5,204.0,1008.0,13.0
2014,8,2,18,1,10.8,202.9,1008.0,13.0
2014,8,3,0,1,10.0,202.0,1005.0,15.0
2014,8,3,6,1,9.9,201.1,1005.0,15.0
2014,8,3,12,1,9.6,200.5,1005.0,15.0
2014,8,3,18,1,9.3,199.6,1005.0,15.0
2014,8,4,0,1,8.9,198.1,1005.0,15.0
2014,8,4,6,1,9.2,196.5,1005.0,15.0
2014,8,4,12,1,9.6,195.2,1005.0,15.0
2014,8,4,18,1,9.7,193.7,1005.0,15.0
2014,8,5,0,1,10.2,192.0,1005.0,15.0
2014,8,5,6,1,10.5,190.7,1005.0,15.0
2014,8,5,12,1,10.9,189.5,1005.0,15.0
2014,8,5,18,2,11.1,187.7,1002.0,18.0
2014,8,6,0,2,11.4,186.4,998.0,23.0
2014,8,6,6,3,11.9,185.4,995.0,25.0
2014,8,6,12,4,12.5,183.9,980.0,33.0
2014,8,6,18,4,13.2,182.0,970.0,38.0
2014,8,7,0,5,13.8,180.9,950.0,48.0
2014,8,7,6,6,14.4,179.9,930.0,58.0
2014,8,7,12,6,15.1,178.6,920.0,60.0
2014,8,7,18,6,15.7,177.5,920.0,60.0
2014,8,8,0,6,16.2,176.6,920.0,60.0
2014,8,8,6,6,16.9,176.0,920.0,60.0
2014,8,8,12,6,17.6,175.8,925.0,58.0
2014,8,8,18,6,18.5,175.8,925.0,58.0
2014,8,9,0,6,19.7,176.4,930.0,55.0
2014,8,9,6,6,21.2,176.9,935.0,52.0
2014,8,9,12,5,22.7,177.3,940.0,50.0
2014,8,9,18,5,24.6,177.0,945.0,48.0
2014,8,10,0,5,26.6,176.1,950.0,45.0
2014,8,10,6,5,28.5,175.2,950.0,45.0
2014,8,10,12,5,30.2,174.0,955.0,42.0
2014,8,10,18,4,31.5,172.1,960.0,38.0
2014,8,11,0,4,32.8,170.4,975.0,33.0
2014,8,11,6,3,33.9,169.1,985.0,28.0
2014,8,11,12,2,34.4,168.2,992.0,23.0
2014,8,11,18,2,34.7,167.3,998.0,18.0
2014,8,12,0,2,35.0,166.7,998.0,18.0
2014,8,12,6,1,35.3,166.1,1000.0,15.0
2014,8,12,12,1,35.6,165.6,1002.0,15.0
2014,8,12,18,1,35.8,165.0,1004.0,13.0
2014,8,13,0,1,36.3,164.6,1006.0,13.0
2014,8,13,6,1,37.0,164.6,1006.0,13.0
2014,8,13,12,1,37.8,165.4,1006.0,13.0
2014,8,13,18,1,38.2,166.7,1006.0,13.0
2014,8,14,0,1,38.6,168.5,1006.0,13.0
2014,8,14,6,1,39.1,171.4,1006.0,13.0
