year,month,day,hour,power,lat,lng,PRES,WND
2014,10,30,0,1,12.5,141.0,1004.0,13.0
2014,10,30,6,1,12.6,139.8,1004.0,13.0
2014,10,30,12,1,12.5,138.8,1004.0,13.0
2014,10,30,18,1,12.4,138.0,1002.0,15.0
2014,10,31,0,1,12.5,137.2,1002.0,15.0
2014,10,31,6,2,12.6,136.3,998.0,18.0
2014,10,31,12,2,12.8,135.5,995.0,20.0
2014,10,31,18,2,12.9,134.7,992.0,23.0
2014,11,1,0,3,13.0,133.9,985.0,28.0
2014,11,1,6,3,13.4,133.6,985.0,28.0
2014,11,1,12,4,14.1,133.4,975.0,33.0
2014,11,1,18,4,14.9,133.0,965.0,38.0
2014,11,2,0,5,15.5,132.7,945.0,48.0
2014,11,2,6,6,16.3,132.6,930.0,55.0
2014,11,2,12,6,17.2,132.5,910.0,65.0
2014,11,2,18,6,17.8,132.4,900.0,68.0
2014,11,3,0,6,18.4,132.5,900.0,68.0
2014,11,3,6,6,19.1,132.8,915.0,62.0
2014,11,3,12,6,19.8,133.5,915.0,62.0
2014,11,3,18,6,20.6,134.3,915.0,62.0
2014,11,4,0,6,21.3,134.9,920.0,60.0
2014,11,4,6,6,22.2,135.5,925.0,58.0
2014,11,4,12,6,23.0,136.1,935.0,52.0
2014,11,4,18,5,23.9,136.7,945.0,48.0
2014,11,5,0,5,24.7,137.3,955.0,42.0
2014,11,5,6,4,25.6,138.1,965.0,38.0
2014,11,5,12,4,26.4,138.8,965.0,38.0
2014,11,5,18,4,27.2,139.6,975.0,33.0
2014,11,6,0,3,28.1,140.2,980.0,30.0
2014,11,6,6,3,29.7,141.2,982.0,28.0
2014,11,6,12,3,32.1,143.4,982.0,28.0
2014,11,6,18,9,34.3,146.1,982.0,28.0
2014,11,7,0,9,37.2,151.7,988.0,23.0
2014,11,7,6,9,42.1,159.5,995.0,18.0
