year,month,day,hour,power,lat,lng,PRES,WND
2014,9,28,6,1,11.2,157.0,1004.0,13.0
2014,9,28,12,1,11.7,155.0,1002.0,13.0
2014,9,28,18,1,12.4,153.3,1000.0,15.0
2014,9,29,0,1,12.7,152.2,1000.0,15.0
2014,9,29,6,2,13.0,151.1,998.0,18.0
2014,9,29,12,2,13.6,150.2,995.0,20.0
2014,9,29,18,2,14.1,149.4,990.0,23.0
2014,9,30,0,2,15.1,148.1,990.0,23.0
2014,9,30,6,2,16.2,147.0,990.0,23.0
2014,9,30,12,3,16.5,145.5,988.0,25.0
2014,9,30,18,3,16.6,144.5,985.0,28.0
2014,10,1,0,3,17.0,143.7,980.0,30.0
2014,10,1,6,4,18.0,142.6,975.0,33.0
2014,10,1,12,4,18.4,141.2,970.0,35.0
2014,10,1,18,4,18.9,140.2,960.0,40.0
2014,10,2,0,5,19.5,139.0,950.0,45.0
2014,10,2,6,5,19.8,138.2,950.0,45.0
2014,10,2,12,5,20.6,137.4,950.0,45.0
2014,10,2,18,5,21.5,136.3,950.0,45.0
2014,10,3,0,5,22.3,135.4,950.0,45.0
2014,10,3,6,5,23.1,134.7,950.0,45.0
2014,10,3,12,5,24.0,133.9,950.0,45.0
2014,10,3,18,5,24.9,133.3,940.0,50.0
2014,10,4,0,5,25.5,132.8,940.0,50.0
2014,10,4,6,5,26.3,132.3,940.0,50.0
2014,10,4,12,5,27.2,131.7,950.0,45.0
2014,10,4,18,5,28.0,131.3,950.0,45.0
2014,10,5,0,5,29.1,131.4,950.0,45.0
2014,10,5,6,5,30.1,131.8,955.0,42.0
2014,10,5,12,4,31.4,133.3,960.0,40.0
2014,10,5,18,4,33.0,135.4,965.0,38.0
2014,10,6,0,4,35.0,138.3,970.0,33.0
2014,10,6,6,3,37.6,143.0,975.0,30.0
2014,10,6,12,9,39.0,147.2,980.0,28.0
2014,10,6,18,9,39.3,152.5,995.0,25.0
2014,10,7,0,9,39.6,157.6,990.0,20.0
2014,10,7,6,9,39.8,163.2,992.0,18.0
