year,month,day,hour,power,lat,lng,PRES,WND
2014,10,2,12,1,7.6,161.3,1002.0,13.0
2014,10,2,18,1,7.7,160.5,1000.0,15.0
2014,10,3,0,1,7.9,159.5,1000.0,15.0
2014,10,3,6,2,8.3,158.5,998.0,18.0
2014,10,3,12,2,8.8,157.5,998.0,18.0
2014,10,3,18,2,9.2,156.1,992.0,23.0
2014,10,4,0,2,9.6,155.1,992.0,23.0
2014,10,4,6,3,10.4,153.9,990.0,25.0
2014,10,4,12,3,11.0,153.0,985.0,28.0
2014,10,4,18,4,11.9,151.7,975.0,33.0
2014,10,5,0,4,12.5,149.9,970.0,35.0
2014,10,5,6,4,13.0,148.3,970.0,35.0
2014,10,5,12,4,13.7,146.8,965.0,38.0
2014,10,5,18,4,14.4,145.2,965.0,38.0
2014,10,6,0,4,15.2,143.3,965.0,38.0
2014,10,6,6,4,15.9,141.4,965.0,38.0
2014,10,6,12,4,16.7,139.7,965.0,38.0
2014,10,6,18,5,16.9,138.0,955.0,42.0
2014,10,7,0,5,17.0,136.4,945.0,48.0
2014,10,7,6,6,17.3,135.2,935.0,55.0
2014,10,7,12,6,17.4,134.2,910.0,65.0
2014,10,7,18,6,17.7,133.2,900.0,68.0
2014,10,8,0,6,17.9,132.2,900.0,68.0
2014,10,8,6,6,18.2,131.5,900.0,68.0
2014,10,8,12,6,18.5,130.9,900.0,68.0
2014,10,8,18,6,18.8,130.4,910.0,65.0
2014,10,9,0,6,19.2,130.0,915.0,62.0
2014,10,9,6,6,19.7,129.9,920.0,60.0
2014,10,9,12,6,20.2,129.5,925.0,58.0
2014,10,9,18,6,20.8,129.4,930.0,55.0
2014,10,10,0,6,21.4,129.4,935.0,52.0
2014,10,10,6,5,22.3,129.3,938.0,50.0
2014,10,10,12,5,23.1,129.3,938.0,50.0
2014,10,10,18,5,23.8,129.0,942.0,48.0
2014,10,11,0,5,24.5,128.8,950.0,45.0
2014,10,11,6,5,25.2,128.6,950.0,45.0
2014,10,11,12,5,26.1,128.3,950.0,45.0
2014,10,11,18,4,26.9,127.7,955.0,40.0
2014,10,12,0,4,27.7,127.2,960.0,35.0
2014,10,12,6,3,28.8,127.1,970.0,30.0
2014,10,12,12,3,29.7,127.5,975.0,28.0
2014,10,12,18,3,30.6,128.6,975.0,28.0
2014,10,13,0,3,31.4,130.4,975.0,25.0
2014,10,13,6,2,32.9,132.7,980.0,23.0
2014,10,13,12,2,34.6,135.9,985.0,20.0
2014,10,13,18,2,36.5,139.1,985.0,20.0
2014,10,14,0,9,39.1,142.8,990.0,18.0
2014,10,14,6,9,40.4,146.4,990.0,18.0
2014,10,14,12,9,41.4,149.3,990.0,18.0
2014,10,14,18,9,43.7,152.4,990.0,18.0
2014,10,15,0,9,47.0,156.0,990.0,18.0
2014,10,15,6,9,48.6,160.0,990.0,18.0
2014,10,15,12,9,49.5,164.5,990.0,18.0
2014,10,15,18,9,50.8,169.4,990.0,18.0
2014,10,16,0,9,52.2,173.9,995.0,15.0
2014,10,16,6,9,52.7,178.5,995.0,15.0
