year,month,day,hour,power,lat,lng,PRES,WND
2015,6,29,18,1,9.0,161.1,1002.0,13.0
2015,6,30,0,1,9.5,160.7,1000.0,15.0
2015,6,30,6,1,9.8,160.1,1000.0,15.0
2015,6,30,12,2,10.0,159.5,998.0,18.0
2015,6,30,18,2,10.1,158.7,995.0,20.0
2015,7,1,0,2,10.5,157.5,995.0,20.0
2015,7,1,6,2,11.0,156.6,995.0,20.0
2015,7,1,12,2,11.3,155.6,992.0,23.0
2015,7,1,18,3,11.3,154.3,990.0,25.0
2015,7,2,0,3,11.1,152.8,990.0,25.0
2015,7,2,6,3,10.9,150.6,990.0,25.0
2015,7,2,12,3,10.5,149.6,985.0,28.0
2015,7,2,18,4,10.3,148.8,975.0,33.0
2015,7,3,0,3,10.3,148.2,985.0,28.0
2015,7,3,6,3,10.8,148.5,990.0,25.0
2015,7,3,12,2,11.2,148.6,992.0,23.0
2015,7,3,18,2,11.8,148.5,992.0,23.0
2015,7,4,0,2,12.3,148.3,992.0,23.0
2015,7,4,6,2,12.8,147.4,992.0,23.0
2015,7,4,12,3,13.3,146.3,990.0,25.0
2015,7,4,18,3,13.7,145.6,990.0,25.0
2015,7,5,0,3,14.0,145.0,990.0,25.0
2015,7,5,6,3,14.1,144.6,990.0,25.0
2015,7,5,12,3,15.1,143.9,990.0,25.0
2015,7,5,18,3,15.8,143.0,985.0,28.0
2015,7,6,0,3,16.3,142.5,980.0,30.0
2015,7,6,6,3,16.9,141.0,980.0,30.0
2015,7,6,12,3,17.5,139.8,980.0,30.0
2015,7,6,18,4,17.9,138.5,975.0,33.0
2015,7,7,0,4,18.1,137.4,975.0,33.0
2015,7,7,6,4,18.3,136.4,970.0,35.0
2015,7,7,12,4,18.6,135.5,970.0,35.0
2015,7,7,18,4,19.0,134.3,970.0,35.0
2015,7,8,0,4,19.4,133.5,970.0,35.0
2015,7,8,6,4,20.4,132.8,970.0,35.0
2015,7,8,12,4,21.0,131.7,965.0,38.0
2015,7,8,18,4,21.7,130.5,960.0,40.0
2015,7,9,0,4,22.5,129.6,960.0,40.0
2015,7,9,6,5,23.3,128.6,955.0,42.0
2015,7,9,12,5,24.2,127.6,950.0,45.0
2015,7,9,18,6,25.1,126.6,940.0,52.0
2015,7,10,0,6,25.7,125.5,940.0,52.0
2015,7,10,6,6,26.5,124.7,935.0,55.0
2015,7,10,12,6,27.3,124.0,940.0,52.0
2015,7,10,18,5,27.8,123.3,945.0,48.0
2015,7,11,0,5,28.6,122.8,950.0,45.0
2015,7,11,6,5,29.4,122.4,955.0,42.0
2015,7,11,12,4,30.3,122.8,960.0,38.0
2015,7,11,18,4,31.3,123.1,970.0,35.0
2015,7,12,0,3,33.1,123.6,980.0,30.0
2015,7,12,6,3,35.0,124.3,985.0,25.0
2015,7,12,12,2,36.8,124.8,985.0,23.0
2015,7,12,18,2,38.2,125.4,985.0,20.0
