year,month,day,hour,power,lat,lng,PRES,WND
2015,11,17,0,1,4.5,162.9,1002.0,13.0
2015,11,17,6,1,4.3,161.3,1000.0,15.0
2015,11,17,12,2,4.6,159.7,998.0,18.0
2015,11,17,18,2,5.2,158.3,995.0,20.0
2015,11,18,0,2,5.5,157.1,992.0,23.0
2015,11,18,6,3,5.8,155.7,990.0,25.0
2015,11,18,12,3,6.3,154.7,990.0,25.0
2015,11,18,18,3,7.1,153.9,990.0,25.0
2015,11,19,0,3,7.9,152.9,990.0,25.0
2015,11,19,6,3,8.5,151.6,990.0,25.0
2015,11,19,12,3,9.2,150.4,985.0,28.0
2015,11,19,18,4,9.7,149.4,975.0,33.0
2015,11,20,0,4,9.9,148.7,965.0,38.0
2015,11,20,6,5,10.5,147.5,955.0,42.0
2015,11,20,12,5,10.8,145.9,955.0,42.0
2015,11,20,18,5,11.0,144.5,950.0,45.0
2015,11,21,0,6,11.3,142.8,940.0,52.0
2015,11,21,6,6,11.9,141.3,940.0,52.0
2015,11,21,12,6,12.5,139.6,940.0,52.0
2015,11,21,18,5,12.8,138.0,945.0,50.0
2015,11,22,0,5,13.5,136.6,948.0,48.0
2015,11,22,6,5,14.2,135.2,948.0,48.0
2015,11,22,12,5,14.7,133.8,950.0,45.0
2015,11,22,18,5,15.3,132.7,955.0,42.0
2015,11,23,0,5,15.9,132.0,955.0,42.0
2015,11,23,6,5,16.5,131.5,955.0,42.0
2015,11,23,12,5,17.3,131.3,955.0,42.0
2015,11,23,18,5,18.0,131.4,955.0,42.0
2015,11,24,0,4,18.6,131.9,960.0,40.0
2015,11,24,6,4,19.0,132.7,965.0,38.0
2015,11,24,12,4,19.3,133.8,970.0,35.0
2015,11,24,18,3,19.5,134.5,980.0,30.0
2015,11,25,0,3,19.9,135.1,985.0,28.0
2015,11,25,6,2,20.1,135.8,992.0,23.0
2015,11,25,12,2,20.5,136.8,995.0,20.0
2015,11,25,18,2,21.4,137.8,998.0,18.0
2015,11,26,0,1,22.5,138.5,1000.0,15.0
2015,11,26,6,1,23.9,139.6,1002.0,13.0
