year,month,day,hour,power,lat,lng,PRES,WND
2015,7,3,0,1,8.4,171.7,1000.0,15.0
2015,7,3,6,1,8.7,171.5,1000.0,15.0
2015,7,3,12,1,9.1,171.2,1000.0,15.0
2015,7,3,18,2,9.7,170.8,998.0,18.0
2015,7,4,0,2,10.2,170.0,998.0,18.0
2015,7,4,6,2,10.8,168.9,995.0,20.0
2015,7,4,12,2,11.1,167.2,992.0,23.0
2015,7,4,18,2,11.2,165.9,992.0,23.0
2015,7,5,0,3,11.4,164.8,990.0,25.0
2015,7,5,6,3,11.3,163.8,990.0,25.0
2015,7,5,12,3,11.1,162.6,990.0,25.0
2015,7,5,18,3,11.4,161.2,985.0,28.0
2015,7,6,0,3,11.7,160.0,980.0,30.0
2015,7,6,6,4,11.8,158.8,975.0,33.0
2015,7,6,12,4,12.2,157.8,965.0,38.0
2015,7,6,18,5,12.7,156.7,955.0,42.0
2015,7,7,0,5,13.1,155.5,950.0,45.0
2015,7,7,6,6,13.6,154.5,940.0,52.0
2015,7,7,12,6,14.3,153.4,930.0,58.0
2015,7,7,18,6,15.0,152.2,930.0,58.0
2015,7,8,0,6,15.4,150.8,940.0,52.0
2015,7,8,6,6,15.5,149.9,940.0,52.0
2015,7,8,12,6,16.0,149.0,935.0,55.0
2015,7,8,18,6,16.6,147.8,930.0,58.0
2015,7,9,0,6,17.0,146.8,930.0,58.0
2015,7,9,6,6,17.6,145.9,930.0,58.0
2015,7,9,12,6,18.0,144.5,915.0,62.0
2015,7,9,18,6,18.2,143.6,915.0,62.0
2015,7,10,0,6,18.3,142.7,930.0,58.0
2015,7,10,6,6,18.4,142.0,935.0,55.0
2015,7,10,12,6,18.3,141.3,940.0,52.0
2015,7,10,18,5,18.3,140.5,945.0,48.0
2015,7,11,0,5,18.4,140.0,950.0,45.0
2015,7,11,6,5,18.3,139.4,955.0,42.0
2015,7,11,12,4,18.4,138.9,960.0,40.0
2015,7,11,18,4,18.4,138.4,960.0,40.0
2015,7,12,0,4,18.3,137.8,960.0,40.0
2015,7,12,6,4,18.6,137.6,960.0,40.0
2015,7,12,12,4,18.8,137.4,960.0,40.0
2015,7,12,18,4,19.1,137.2,960.0,40.0
2015,7,13,0,5,19.6,137.1,955.0,42.0
2015,7,13,6,5,20.5,137.0,955.0,42.0
2015,7,13,12,5,21.4,136.8,955.0,42.0
2015,7,13,18,5,22.2,136.6,955.0,42.0
2015,7,14,0,5,22.8,136.5,955.0,42.0
2015,7,14,6,5,23.7,136.5,955.0,42.0
2015,7,14,12,5,24.5,136.5,955.0,42.0
2015,7,14,18,5,25.5,136.4,955.0,42.0
2015,7,15,0,5,26.5,136.3,955.0,42.0
2015,7,15,6,5,27.6,135.9,955.0,42.0
2015,7,15,12,5,29.0,135.6,955.0,42.0
2015,7,15,18,4,29.9,135.2,960.0,40.0
2015,7,16,0,4,31.1,134.8,965.0,38.0
2015,7,16,6,4,32.0,134.5,970.0,35.0
2015,7,16,12,4,33.0,134.3,975.0,33.0
2015,7,16,18,3,34.0,133.7,980.0,28.0
2015,7,17,0,2,35.0,133.6,990.0,23.0
2015,7,17,6,2,35.7,133.8,995.0,20.0
2015,7,17,12,2,36.6,134.5,998.0,18.0
2015,7,17,18,1,37.6,135.0,1000.0,15.0
2015,7,18,0,1,38.6,135.4,1002.0,15.0
2015,7,18,6,1,39.7,136.2,1002.0,15.0
