year,month,day,hour,power,lat,lng,PRES,WND
2015,5,2,12,1,7.6,142.8,1002.0,13.0
2015,5,2,18,1,7.7,142.4,1002.0,13.0
2015,5,3,0,1,8.0,142.0,1000.0,15.0
2015,5,3,6,1,8.4,141.5,1000.0,15.0
2015,5,3,12,1,9.0,141.2,1000.0,15.0
2015,5,3,18,2,9.4,140.7,998.0,18.0
2015,5,4,0,2,9.7,140.2,995.0,20.0
2015,5,4,6,2,9.7,139.9,995.0,20.0
2015,5,4,12,2,9.6,139.6,992.0,23.0
2015,5,4,18,2,9.5,139.3,992.0,23.0
2015,5,5,0,3,9.4,139.0,990.0,25.0
2015,5,5,6,3,9.4,138.7,990.0,25.0
2015,5,5,12,3,9.4,138.5,985.0,28.0
2015,5,5,18,3,9.4,138.2,985.0,28.0
2015,5,6,0,3,9.5,137.6,980.0,30.0
2015,5,6,6,4,9.5,136.9,975.0,33.0
2015,5,6,12,4,9.8,136.0,965.0,38.0
2015,5,6,18,4,10.2,135.2,965.0,38.0
2015,5,7,0,5,10.6,134.2,955.0,42.0
2015,5,7,6,5,11.3,133.1,955.0,42.0
2015,5,7,12,5,11.6,132.0,950.0,45.0
2015,5,7,18,5,11.8,131.2,950.0,45.0
2015,5,8,0,5,12.1,130.2,950.0,45.0
2015,5,8,6,5,12.6,129.1,950.0,45.0
2015,5,8,12,5,13.4,128.0,945.0,48.0
2015,5,8,18,5,13.7,127.1,945.0,48.0
2015,5,9,0,5,14.3,126.2,945.0,48.0
2015,5,9,6,5,14.9,125.2,940.0,50.0
2015,5,9,12,6,15.4,124.6,935.0,52.0
2015,5,9,18,6,16.1,123.9,925.0,58.0
2015,5,10,0,6,16.9,123.3,920.0,60.0
2015,5,10,6,6,17.8,122.6,925.0,58.0
2015,5,10,12,6,18.6,122.3,930.0,55.0
2015,5,10,18,6,19.6,122.0,935.0,52.0
2015,5,11,0,5,20.6,122.0,950.0,45.0
2015,5,11,6,4,21.8,122.3,960.0,40.0
2015,5,11,12,4,23.2,123.6,970.0,35.0
2015,5,11,18,4,25.5,125.5,975.0,33.0
2015,5,12,0,3,27.9,128.4,980.0,30.0
2015,5,12,6,9,30.5,132.2,985.0,28.0
2015,5,12,12,9,34.3,138.0,990.0,23.0
2015,5,12,18,9,38.4,142.3,990.0,23.0
2015,5,13,0,9,42.6,145.0,994.0,20.0
2015,5,13,6,9,44.2,148.1,994.0,20.0
2015,5,13,12,9,45.1,150.9,994.0,20.0
2015,5,13,18,9,45.6,153.6,994.0,20.0
2015,5,14,0,9,46.2,156.6,994.0,20.0
2015,5,14,6,9,46.8,160.0,994.0,20.0
2015,5,14,12,9,46.8,162.8,994.0,20.0
2015,5,14,18,9,47.0,166.2,992.0,18.0
2015,5,15,0,9,47.6,168.8,992.0,18.0
2015,5,15,6,9,48.3,171.6,992.0,18.0
2015,5,15,12,9,49.0,174.0,986.0,18.0
2015,5,15,18,9,48.8,176.0,986.0,18.0
2015,5,16,0,9,47.8,178.3,986.0,18.0
