year,month,day,hour,power,lat,lng,PRES,WND
2016,10,4,12,1,19.3,129.8,1002.0,13.0
2016,10,4,18,1,19.3,127.8,1002.0,13.0
2016,10,5,0,1,18.8,126.5,1002.0,13.0
2016,10,5,6,1,18.9,125.2,1002.0,13.0
2016,10,5,12,1,19.6,123.7,1000.0,15.0
2016,10,5,18,1,20.0,122.3,1000.0,15.0
2016,10,6,0,2,20.5,120.6,998.0,18.0
2016,10,6,6,2,20.6,119.0,998.0,18.0
2016,10,6,12,2,20.6,118.1,995.0,20.0
2016,10,6,18,2,20.5,117.3,995.0,20.0
2016,10,7,0,2,20.3,116.5,992.0,23.0
2016,10,7,6,2,20.7,116.1,992.0,23.0
2016,10,7,12,3,21.0,116.0,990.0,25.0
2016,10,7,18,3,21.2,116.1,985.0,28.0
2016,10,8,0,3,21.3,116.3,985.0,28.0
2016,10,8,6,3,21.5,116.6,990.0,25.0
2016,10,8,12,2,21.6,116.9,992.0,23.0
2016,10,8,18,2,21.7,117.1,995.0,20.0
2016,10,9,0,2,21.8,117.3,995.0,20.0
2016,10,9,6,2,21.9,117.5,995.0,20.0
2016,10,9,12,2,21.9,117.7,998.0,18.0
2016,10,9,18,2,21.8,117.8,998.0,18.0
2016,10,10,0,2,21.5,117.8,998.0,18.0
2016,10,10,6,2,21.3,117.3,998.0,18.0
2016,10,10,12,1,21.0,116.7,1000.0,15.0
2016,10,10,18,1,20.6,116.0,1000.0,15.0
2016,10,11,0,1,20.1,115.4,1000.0,15.0
2016,10,11,6,1,19.4,114.6,1000.0,15.0
2016,10,11,12,1,18.5,114.0,1002.0,13.0
2016,10,11,18,1,17.5,113.5,1002.0,13.0
2016,10,12,0,1,16.8,113.1,1002.0,13.0
2016,10,12,6,1,16.2,112.4,1002.0,13.0
2016,10,12,12,1,16.4,111.7,1000.0,15.0
2016,10,12,18,2,16.9,110.7,998.0,18.0
2016,10,13,0,2,16.9,109.4,992.0,23.0
2016,10,13,6,2,16.5,108.5,992.0,23.0
2016,10,13,12,2,16.3,107.8,995.0,20.0
2016,10,13,18,2,16.3,107.1,998.0,18.0
2016,10,14,0,2,16.3,106.3,998.0,18.0
2016,10,14,6,1,16.4,105.6,1000.0,15.0
2016,10,14,12,1,16.7,105.0,1002.0,13.0
