year,month,day,hour,power,lat,lng,PRES,WND
2016,9,25,12,1,15.3,160.6,1002.0,13.0
2016,9,25,18,1,15.7,159.7,1002.0,13.0
2016,9,26,0,1,16.1,158.8,1002.0,13.0
2016,9,26,6,1,16.0,157.8,1002.0,13.0
2016,9,26,12,1,15.8,156.2,1002.0,13.0
2016,9,26,18,1,15.3,154.7,1000.0,15.0
2016,9,27,0,1,14.7,153.4,1000.0,15.0
2016,9,27,6,1,14.5,152.1,1000.0,15.0
2016,9,27,12,1,14.5,150.9,1000.0,15.0
2016,9,27,18,2,14.4,150.0,998.0,18.0
2016,9,28,0,2,14.4,148.4,998.0,18.0
2016,9,28,6,2,14.5,146.9,998.0,18.0
2016,9,28,12,2,14.5,145.2,998.0,18.0
2016,9,28,18,2,14.5,144.2,998.0,18.0
2016,9,29,0,2,14.5,143.2,998.0,18.0
2016,9,29,6,2,14.2,141.8,995.0,20.0
2016,9,29,12,2,13.8,140.6,995.0,20.0
2016,9,29,18,2,13.4,139.3,992.0,23.0
2016,9,30,0,3,13.5,138.2,990.0,25.0
2016,9,30,6,3,14.0,137.4,990.0,25.0
2016,9,30,12,3,14.8,136.7,990.0,25.0
2016,9,30,18,3,15.4,136.0,985.0,28.0
2016,10,1,0,3,16.1,135.4,985.0,28.0
2016,10,1,6,3,16.9,134.6,980.0,30.0
2016,10,1,12,4,17.6,133.7,975.0,33.0
2016,10,1,18,5,18.4,132.7,955.0,42.0
2016,10,2,0,6,19.6,131.6,940.0,52.0
2016,10,2,6,6,20.8,130.4,940.0,52.0
2016,10,2,12,6,21.7,129.2,940.0,52.0
2016,10,2,18,6,22.7,128.4,940.0,52.0
2016,10,3,0,6,23.8,127.6,930.0,55.0
2016,10,3,6,6,24.9,127.0,920.0,60.0
2016,10,3,12,6,25.8,126.8,920.0,60.0
2016,10,3,18,6,26.8,126.4,920.0,60.0
2016,10,4,0,6,27.9,126.2,930.0,55.0
2016,10,4,6,6,29.4,126.0,940.0,52.0
2016,10,4,12,5,31.1,125.9,950.0,45.0
2016,10,4,18,4,32.8,126.8,960.0,40.0
2016,10,5,0,4,34.3,128.1,975.0,33.0
2016,10,5,6,3,35.9,131.0,990.0,25.0
2016,10,5,12,9,38.4,136.1,995.0,20.0
2016,10,5,18,9,40.0,143.0,995.0,20.0
2016,10,6,0,9,41.2,148.3,995.0,20.0
2016,10,6,6,9,42.1,153.5,995.0,20.0
2016,10,6,12,9,43.0,158.3,995.0,20.0
2016,10,6,18,9,43.9,164.0,995.0,15.0
