year,month,day,hour,power,lat,lng,PRES,WND
2016,8,15,6,1,21.9,117.1,995.0,13.0
2016,8,15,12,1,21.7,116.3,995.0,13.0
2016,8,15,18,1,21.6,115.4,995.0,13.0
2016,8,16,0,1,21.6,114.7,995.0,13.0
2016,8,16,6,1,21.7,113.9,994.0,13.0
2016,8,16,12,1,21.7,113.6,994.0,13.0
2016,8,16,18,1,21.6,113.3,992.0,13.0
2016,8,17,0,1,21.5,113.1,992.0,15.0
2016,8,17,6,1,21.4,112.9,992.0,15.0
2016,8,17,12,1,21.3,112.7,992.0,15.0
2016,8,17,18,1,21.2,112.4,990.0,15.0
2016,8,18,0,2,21.1,112.0,985.0,18.0
2016,8,18,6,2,20.9,110.8,982.0,20.0
2016,8,18,12,2,20.4,109.6,982.0,20.0
2016,8,18,18,2,20.4,108.6,980.0,23.0
2016,8,19,0,2,20.5,107.6,980.0,23.0
2016,8,19,6,2,20.7,106.5,980.0,23.0
2016,8,19,12,2,20.9,105.0,988.0,20.0
2016,8,19,18,1,21.6,103.0,996.0,13.0
2016,8,20,0,0,23.0,101.3,998.0,10.0
