year,month,day,hour,power,lat,lng,PRES,WND
2016,8,17,18,1,28.3,153.6,1000.0,15.0
2016,8,18,0,1,29.1,152.0,1000.0,15.0
2016,8,18,6,1,30.3,150.0,1000.0,15.0
2016,8,18,12,1,31.3,148.7,1000.0,15.0
2016,8,18,18,1,32.2,146.8,1000.0,15.0
2016,8,19,0,1,32.8,144.9,1000.0,15.0
2016,8,19,6,1,33.1,142.9,1000.0,15.0
2016,8,19,12,1,32.9,141.3,998.0,15.0
2016,8,19,18,2,32.4,139.8,995.0,18.0
2016,8,20,0,2,31.6,138.6,995.0,18.0
2016,8,20,6,2,31.1,137.5,995.0,18.0
2016,8,20,12,2,30.8,136.6,995.0,18.0
2016,8,20,18,2,30.4,135.5,995.0,18.0
2016,8,21,0,2,30.0,134.3,995.0,18.0
2016,8,21,6,2,29.5,133.6,995.0,18.0
2016,8,21,12,2,29.3,133.3,990.0,20.0
2016,8,21,18,2,29.0,133.2,990.0,20.0
2016,8,22,0,2,28.8,133.3,990.0,20.0
2016,8,22,6,2,28.7,133.6,990.0,20.0
2016,8,22,12,2,28.6,134.1,990.0,23.0
2016,8,22,18,2,28.2,134.3,990.0,23.0
2016,8,23,0,3,27.9,134.5,988.0,25.0
2016,8,23,6,3,27.4,134.3,985.0,28.0
2016,8,23,12,3,26.8,134.1,980.0,30.0
2016,8,23,18,4,26.0,133.3,975.0,33.0
2016,8,24,0,4,25.4,132.8,965.0,38.0
2016,8,24,6,5,24.9,132.3,955.0,42.0
2016,8,24,12,5,24.4,131.8,955.0,42.0
2016,8,24,18,5,23.9,131.4,945.0,48.0
2016,8,25,0,5,23.6,131.0,945.0,48.0
2016,8,25,6,5,23.5,130.9,945.0,48.0
2016,8,25,12,5,23.5,130.8,945.0,48.0
2016,8,25,18,5,23.0,130.5,945.0,48.0
2016,8,26,0,5,23.1,130.9,945.0,48.0
2016,8,26,6,5,23.1,131.3,945.0,48.0
2016,8,26,12,5,23.2,132.1,955.0,42.0
2016,8,26,18,5,23.5,132.5,955.0,42.0
2016,8,27,0,5,23.8,133.0,950.0,45.0
2016,8,27,6,5,24.0,133.9,945.0,48.0
2016,8,27,12,5,24.5,134.7,945.0,48.0
2016,8,27,18,5,25.1,135.5,945.0,48.0
2016,8,28,0,5,26.1,136.6,940.0,50.0
2016,8,28,6,6,27.8,137.9,935.0,52.0
2016,8,28,12,6,28.5,138.9,935.0,52.0
2016,8,28,18,5,29.4,140.4,945.0,48.0
2016,8,29,0,5,30.5,141.8,950.0,45.0
2016,8,29,6,5,31.5,142.8,955.0,42.0
2016,8,29,12,4,32.4,143.5,960.0,38.0
2016,8,29,18,4,34.0,143.8,965.0,35.0
2016,8,30,0,4,36.0,143.0,970.0,33.0
2016,8,30,6,3,37.6,142.1,975.0,30.0
2016,8,30,12,3,41.0,140.2,978.0,25.0
2016,8,30,18,9,43.5,136.5,980.0,18.0
