year,month,day,hour,power,lat,lng,PRES,WND
2016,9,22,18,1,15.4,141.2,1002.0,13.0
2016,9,23,0,2,15.6,140.5,998.0,18.0
2016,9,23,6,2,15.8,139.7,998.0,18.0
2016,9,23,12,2,16.0,138.6,998.0,18.0
2016,9,23,18,2,16.5,137.5,995.0,20.0
2016,9,24,0,2,17.3,136.4,992.0,23.0
2016,9,24,6,3,18.2,135.3,990.0,25.0
2016,9,24,12,3,18.6,133.9,980.0,30.0
2016,9,24,18,4,18.9,132.9,975.0,33.0
2016,9,25,0,4,19.4,131.6,965.0,38.0
2016,9,25,6,4,19.8,130.4,965.0,38.0
2016,9,25,12,4,20.1,129.4,965.0,38.0
2016,9,25,18,4,20.5,128.3,965.0,38.0
2016,9,26,0,5,20.8,127.3,955.0,42.0
2016,9,26,6,5,21.4,126.2,950.0,45.0
2016,9,26,12,5,21.9,125.3,950.0,45.0
2016,9,26,18,5,22.4,124.3,945.0,48.0
2016,9,27,0,6,23.1,123.3,940.0,52.0
2016,9,27,6,5,24.0,121.6,950.0,45.0
2016,9,27,12,4,23.7,120.5,960.0,40.0
2016,9,27,18,4,24.4,119.4,970.0,35.0
2016,9,28,0,3,24.9,118.0,985.0,28.0
2016,9,28,6,2,25.0,117.1,990.0,20.0
2016,9,28,12,2,25.2,116.4,995.0,18.0
2016,9,28,18,1,25.6,115.9,996.0,15.0
2016,9,29,0,1,26.2,116.0,1002.0,15.0
2016,9,29,6,1,26.8,116.6,1002.0,13.0
2016,9,29,12,0,27.6,117.1,1006.0,10.0
2016,9,29,18,0,28.8,117.5,1008.0,10.0
