year,month,day,hour,power,lat,lng,PRES,WND
2016,8,17,0,0,15.3,138.9,1004.0,10.0
2016,8,17,6,1,15.2,139.9,1002.0,13.0
2016,8,17,12,1,15.1,140.6,1002.0,13.0
2016,8,17,18,1,15.1,141.3,1000.0,15.0
2016,8,18,0,1,15.3,142.0,1000.0,15.0
2016,8,18,6,1,15.7,142.8,1000.0,15.0
2016,8,18,12,1,16.2,143.1,1000.0,15.0
2016,8,18,18,1,16.9,143.0,1000.0,15.0
2016,8,19,0,2,17.3,142.5,998.0,18.0
2016,8,19,6,2,17.9,141.7,998.0,18.0
2016,8,19,12,2,18.6,140.9,998.0,18.0
2016,8,19,18,2,19.6,140.7,998.0,18.0
2016,8,20,0,2,20.4,140.8,995.0,20.0
2016,8,20,6,2,22.2,141.0,992.0,23.0
2016,8,20,12,2,24.2,141.1,992.0,23.0
2016,8,20,18,2,26.2,140.8,992.0,23.0
2016,8,21,0,3,28.0,140.6,990.0,25.0
2016,8,21,6,3,29.8,139.9,990.0,25.0
2016,8,21,12,3,31.6,139.6,985.0,28.0
2016,8,21,18,3,33.2,139.2,980.0,30.0
2016,8,22,0,3,34.3,139.4,980.0,30.0
2016,8,22,6,3,35.9,140.0,980.0,30.0
2016,8,22,12,3,37.8,140.6,985.0,25.0
2016,8,22,18,2,40.6,141.6,992.0,23.0
2016,8,23,0,2,43.6,143.4,995.0,20.0
