year,month,day,hour,power,lat,lng,PRES,WND
2016,7,2,12,1,8.2,145.3,1000.0,15.0
2016,7,2,18,1,8.5,145.2,1000.0,15.0
2016,7,3,0,2,8.8,145.0,998.0,18.0
2016,7,3,6,2,9.2,144.8,998.0,18.0
2016,7,3,12,2,9.9,144.2,995.0,20.0
2016,7,3,18,2,10.9,143.5,995.0,20.0
2016,7,4,0,2,11.8,142.3,995.0,20.0
2016,7,4,6,2,12.8,141.0,992.0,23.0
2016,7,4,12,3,13.5,139.6,990.0,25.0
2016,7,4,18,3,14.5,138.3,985.0,28.0
2016,7,5,0,4,15.3,136.6,975.0,33.0
2016,7,5,6,4,16.3,135.1,960.0,40.0
2016,7,5,12,6,17.1,133.6,940.0,52.0
2016,7,5,18,6,18.0,131.9,915.0,62.0
2016,7,6,0,6,18.7,130.2,905.0,68.0
2016,7,6,6,6,19.5,128.5,895.0,72.0
2016,7,6,12,6,20.1,127.0,895.0,72.0
2016,7,6,18,6,20.7,125.6,895.0,72.0
2016,7,7,0,6,21.3,124.4,895.0,72.0
2016,7,7,6,6,21.6,123.4,895.0,72.0
2016,7,7,12,6,21.9,122.7,895.0,72.0
2016,7,7,18,6,22.4,121.8,915.0,62.0
2016,7,8,0,5,22.6,120.7,950.0,45.0
2016,7,8,6,4,23.2,120.1,965.0,38.0
2016,7,8,12,4,23.1,119.8,975.0,33.0
2016,7,8,18,3,23.3,119.6,985.0,25.0
2016,7,9,0,2,24.3,119.1,990.0,23.0
2016,7,9,6,2,24.7,118.7,992.0,20.0
2016,7,9,12,2,25.1,118.1,995.0,18.0
2016,7,9,18,1,25.8,116.9,996.0,15.0
2016,7,10,0,1,26.4,116.5,998.0,13.0
