year,month,day,hour,power,lat,lng,PRES,WND
2016,12,20,0,1,6.9,145.5,1002.0,13.0
2016,12,20,6,1,6.5,144.9,1002.0,13.0
2016,12,20,12,1,6.2,144.3,1002.0,13.0
2016,12,20,18,1,6.1,143.3,1002.0,13.0
2016,12,21,0,1,6.2,142.4,1000.0,15.0
2016,12,21,6,1,6.5,141.7,1000.0,15.0
2016,12,21,12,1,6.9,141.0,1000.0,15.0
2016,12,21,18,2,7.7,140.1,998.0,18.0
2016,12,22,0,2,8.6,138.9,998.0,18.0
2016,12,22,6,2,9.4,137.9,992.0,23.0
2016,12,22,12,3,10.2,136.5,990.0,25.0
2016,12,22,18,3,11.0,134.8,990.0,25.0
2016,12,23,0,3,11.8,133.2,985.0,28.0
2016,12,23,6,3,12.1,132.1,980.0,30.0
2016,12,23,12,4,12.6,131.1,975.0,33.0
2016,12,23,18,5,13.0,129.8,955.0,42.0
2016,12,24,0,6,13.1,129.0,940.0,52.0
2016,12,24,6,6,13.3,128.2,930.0,58.0
2016,12,24,12,6,13.5,127.5,930.0,58.0
2016,12,24,18,6,13.6,126.8,930.0,58.0
2016,12,25,0,6,13.5,126.0,915.0,62.0
2016,12,25,6,6,13.5,125.1,915.0,62.0
2016,12,25,12,6,13.5,124.0,920.0,60.0
2016,12,25,18,5,13.6,122.6,945.0,50.0
2016,12,26,0,5,13.7,121.4,955.0,42.0
2016,12,26,6,4,13.9,120.2,970.0,35.0
2016,12,26,12,4,14.4,118.7,970.0,35.0
2016,12,26,18,4,14.7,117.3,970.0,35.0
2016,12,27,0,3,14.9,116.2,980.0,30.0
2016,12,27,6,3,14.8,115.8,990.0,25.0
2016,12,27,12,2,14.3,115.4,995.0,20.0
2016,12,27,18,1,13.6,114.7,1000.0,15.0
2016,12,28,0,1,12.8,113.4,1002.0,13.0
2016,12,28,6,1,11.9,112.2,1002.0,13.0
