year,month,day,hour,power,lat,lng,PRES,WND
2016,8,3,6,1,17.5,147.9,1002.0,13.0
2016,8,3,12,1,17.6,148.3,1002.0,13.0
2016,8,3,18,1,18.0,148.5,1000.0,15.0
2016,8,4,0,1,18.4,148.6,1000.0,15.0
2016,8,4,6,2,18.9,148.7,998.0,18.0
2016,8,4,12,2,19.3,148.5,998.0,18.0
2016,8,4,18,2,19.7,148.1,998.0,18.0
2016,8,5,0,2,20.4,147.7,995.0,20.0
2016,8,5,6,2,21.4,147.5,992.0,23.0
2016,8,5,12,3,22.5,147.5,990.0,25.0
2016,8,5,18,3,23.3,147.5,985.0,28.0
2016,8,6,0,3,24.3,147.6,985.0,28.0
2016,8,6,6,3,25.1,147.5,980.0,30.0
2016,8,6,12,3,26.2,147.6,980.0,30.0
2016,8,6,18,3,27.5,147.5,980.0,30.0
2016,8,7,0,3,28.7,146.9,980.0,30.0
2016,8,7,6,3,29.8,146.4,980.0,30.0
2016,8,7,12,3,30.9,145.8,985.0,28.0
2016,8,7,18,3,32.0,145.0,985.0,28.0
2016,8,8,0,3,33.3,144.4,985.0,28.0
2016,8,8,6,3,34.4,144.2,990.0,25.0
2016,8,8,12,3,35.4,144.4,990.0,25.0
2016,8,8,18,2,36.6,144.7,990.0,23.0
2016,8,9,0,2,37.9,145.7,990.0,23.0
2016,8,9,6,2,40.0,147.1,990.0,23.0
2016,8,9,12,2,41.7,148.6,992.0,20.0
2016,8,9,18,9,44.1,151.2,992.0,20.0
2016,8,10,0,9,46.4,153.2,988.0,20.0
2016,8,10,6,9,48.6,156.3,988.0,20.0
2016,8,10,12,9,50.4,159.8,988.0,20.0
2016,8,10,18,9,52.2,162.8,986.0,18.0
