year,month,day,hour,power,lat,lng,PRES,WND
2016,11,24,0,1,9.7,126.6,1002.0,13.0
2016,11,24,6,1,10.4,125.6,1002.0,13.0
2016,11,24,12,1,10.8,124.3,1000.0,15.0
2016,11,24,18,1,11.2,123.3,1000.0,15.0
2016,11,25,0,2,11.5,122.5,998.0,18.0
2016,11,25,6,2,11.6,121.4,998.0,18.0
2016,11,25,12,2,11.9,120.8,998.0,18.0
2016,11,25,18,2,12.4,120.0,995.0,20.0
2016,11,26,0,3,13.2,118.7,990.0,25.0
2016,11,26,6,3,13.8,117.8,990.0,25.0
2016,11,26,12,3,14.6,117.1,990.0,25.0
2016,11,26,18,2,15.3,117.0,992.0,23.0
2016,11,27,0,2,15.8,117.4,992.0,23.0
2016,11,27,6,2,16.4,118.0,992.0,23.0
2016,11,27,12,2,16.7,118.2,992.0,23.0
2016,11,27,18,2,17.0,118.4,995.0,20.0
2016,11,28,0,1,17.3,118.7,1000.0,15.0
