year,month,day,hour,power,lat,lng,PRES,WND
2017,8,10,18,1,15.9,170.7,1002.0,13.0
2017,8,11,0,1,16.5,169.9,1002.0,13.0
2017,8,11,6,1,16.9,168.9,1000.0,15.0
2017,8,11,12,2,17.5,167.9,998.0,18.0
2017,8,11,18,2,18.1,166.9,995.0,20.0
2017,8,12,0,2,18.7,165.8,992.0,23.0
2017,8,12,6,3,19.3,165.1,985.0,28.0
2017,8,12,12,4,20.0,164.7,975.0,33.0
2017,8,12,18,4,20.5,164.3,965.0,38.0
2017,8,13,0,5,21.0,164.1,955.0,42.0
2017,8,13,6,5,21.5,163.9,955.0,42.0
2017,8,13,12,5,21.8,163.8,955.0,42.0
2017,8,13,18,5,22.2,163.6,955.0,42.0
2017,8,14,0,4,22.6,163.4,960.0,40.0
2017,8,14,6,4,23.3,163.3,960.0,40.0
2017,8,14,12,4,24.0,163.0,960.0,40.0
2017,8,14,18,4,24.9,162.8,960.0,40.0
2017,8,15,0,5,26.0,162.4,955.0,42.0
2017,8,15,6,5,27.1,162.2,955.0,42.0
2017,8,15,12,4,28.5,162.4,965.0,38.0
2017,8,15,18,4,29.8,162.6,965.0,38.0
2017,8,16,0,4,31.4,163.3,975.0,33.0
2017,8,16,6,4,33.2,165.1,975.0,33.0
2017,8,16,12,4,35.2,167.5,975.0,33.0
2017,8,16,18,3,37.9,170.7,980.0,30.0
2017,8,17,0,2,40.3,173.9,992.0,23.0
2017,8,17,6,2,42.6,176.2,998.0,18.0
