year,month,day,hour,power,lat,lng,PRES,WND
2017,9,11,0,1,14.8,126.1,1004.0,13.0
2017,9,11,6,1,14.7,124.8,1002.0,15.0
2017,9,11,12,1,14.7,123.8,1002.0,15.0
2017,9,11,18,1,14.7,122.9,1002.0,15.0
2017,9,12,0,1,14.5,121.9,1002.0,15.0
2017,9,12,6,2,14.7,120.7,998.0,18.0
2017,9,12,12,2,14.6,119.5,998.0,18.0
2017,9,12,18,2,14.7,118.3,995.0,20.0
2017,9,13,0,2,14.8,117.2,995.0,20.0
2017,9,13,6,2,15.3,116.0,990.0,23.0
2017,9,13,12,2,15.6,114.6,990.0,23.0
2017,9,13,18,3,15.8,113.5,988.0,25.0
2017,9,14,0,3,16.1,112.4,985.0,28.0
2017,9,14,6,4,16.4,111.2,975.0,33.0
2017,9,14,12,4,16.9,110.0,965.0,38.0
2017,9,14,18,4,17.4,108.9,960.0,40.0
2017,9,15,0,5,17.8,107.4,955.0,42.0
2017,9,15,6,5,17.9,106.1,955.0,42.0
2017,9,15,12,3,18.0,104.6,980.0,30.0
2017,9,15,18,2,18.2,102.7,995.0,23.0
2017,9,16,0,1,18.6,101.3,1002.0,15.0
2017,9,16,6,1,19.5,100.1,1004.0,13.0
