year,month,day,hour,power,lat,lng,PRES,WND
2017,10,11,6,1,16.3,132.2,1002.0,13.0
2017,10,11,12,1,16.6,130.2,1002.0,13.0
2017,10,11,18,1,17.2,128.0,1002.0,13.0
2017,10,12,0,1,17.6,126.4,1002.0,13.0
2017,10,12,6,1,17.9,125.0,1000.0,15.0
2017,10,12,12,2,18.0,123.7,998.0,18.0
2017,10,12,18,2,18.1,122.1,998.0,18.0
2017,10,13,0,2,17.8,120.6,998.0,18.0
2017,10,13,6,2,17.4,119.2,992.0,20.0
2017,10,13,12,2,17.2,118.8,992.0,20.0
2017,10,13,18,3,17.2,118.5,985.0,25.0
2017,10,14,0,3,17.3,118.3,985.0,25.0
2017,10,14,6,3,17.7,118.0,982.0,28.0
2017,10,14,12,3,18.6,117.6,980.0,30.0
2017,10,14,18,4,19.5,116.6,970.0,35.0
2017,10,14,21,4,19.8,115.7,965.0,38.0
2017,10,15,0,4,20.0,114.9,965.0,38.0
2017,10,15,3,4,20.3,114.2,960.0,40.0
2017,10,15,6,5,20.5,113.5,955.0,42.0
2017,10,15,9,4,20.6,112.6,960.0,40.0
2017,10,15,12,4,20.7,111.8,965.0,38.0
2017,10,15,15,4,20.7,111.3,970.0,35.0
2017,10,15,18,3,20.7,110.7,985.0,28.0
2017,10,16,0,2,20.1,109.9,998.0,18.0
2017,10,16,6,1,20.3,109.4,1000.0,15.0
