year,month,day,hour,power,lat,lng,PRES,WND
2017,7,25,0,1,12.7,128.9,1002.0,13.0
2017,7,25,6,1,13.3,128.5,1002.0,13.0
2017,7,25,12,1,14.0,128.4,1002.0,13.0
2017,7,25,18,1,14.7,128.3,1002.0,13.0
2017,7,26,0,1,15.4,128.1,1000.0,15.0
2017,7,26,6,2,16.1,127.9,998.0,18.0
2017,7,26,12,2,16.6,127.8,995.0,20.0
2017,7,26,18,2,17.1,127.7,992.0,23.0
2017,7,27,0,3,17.5,127.6,990.0,25.0
2017,7,27,6,3,18.0,127.4,990.0,25.0
2017,7,27,12,3,18.7,127.1,985.0,28.0
2017,7,27,18,3,19.4,126.4,985.0,28.0
2017,7,28,0,3,20.0,125.5,980.0,30.0
2017,7,28,6,3,20.5,124.8,980.0,30.0
2017,7,28,12,4,21.0,124.3,975.0,33.0
2017,7,28,15,4,21.4,123.9,970.0,35.0
2017,7,28,18,4,21.7,123.6,965.0,38.0
2017,7,28,21,4,22.1,123.4,960.0,40.0
2017,7,29,0,4,22.5,123.3,960.0,40.0
2017,7,29,3,4,22.9,123.1,960.0,40.0
2017,7,29,6,4,23.4,122.8,960.0,40.0
2017,7,29,9,4,23.9,122.5,960.0,40.0
2017,7,29,12,4,24.7,121.8,965.0,38.0
2017,7,29,15,4,24.7,120.8,975.0,33.0
2017,7,29,18,4,25.1,120.3,975.0,33.0
2017,7,29,21,4,25.4,119.8,975.0,33.0
2017,7,30,0,3,25.7,119.3,982.0,28.0
2017,7,30,6,1,26.1,118.1,990.0,15.0
2017,7,30,12,1,25.8,117.5,992.0,13.0
2017,7,30,18,1,25.4,116.9,992.0,13.0
2017,7,31,0,0,24.8,116.6,994.0,10.0
