year,month,day,hour,power,lat,lng,PRES,WND
2017,7,19,18,1,26.4,161.2,1008.0,13.0
2017,7,20,0,1,26.8,160.6,1008.0,13.0
2017,7,20,6,1,27.1,160.0,1008.0,13.0
2017,7,20,12,1,27.3,159.1,1006.0,15.0
2017,7,20,18,1,27.6,158.3,1006.0,15.0
2017,7,21,0,2,28.0,157.7,1004.0,18.0
2017,7,21,6,2,28.2,156.9,1004.0,18.0
2017,7,21,12,2,28.4,155.7,1004.0,18.0
2017,7,21,18,2,28.6,154.7,1004.0,18.0
2017,7,22,0,2,28.7,153.8,998.0,20.0
2017,7,22,6,2,28.7,153.2,998.0,20.0
2017,7,22,12,2,28.6,152.5,992.0,23.0
2017,7,22,18,3,28.5,151.9,990.0,25.0
2017,7,23,0,3,28.3,151.3,985.0,28.0
2017,7,23,6,3,28.2,151.2,980.0,30.0
2017,7,23,12,4,28.1,151.4,975.0,33.0
2017,7,23,18,4,27.5,151.7,975.0,33.0
2017,7,24,0,4,27.1,152.3,965.0,38.0
2017,7,24,6,4,26.8,152.9,960.0,40.0
2017,7,24,12,4,26.3,154.2,960.0,40.0
2017,7,24,18,4,25.9,155.6,960.0,40.0
2017,7,25,0,4,25.7,156.6,960.0,40.0
2017,7,25,6,4,25.9,157.5,960.0,40.0
2017,7,25,12,4,26.2,158.1,960.0,40.0
2017,7,25,18,4,27.0,158.4,965.0,38.0
2017,7,26,0,4,28.0,157.9,970.0,35.0
2017,7,26,6,4,29.0,157.1,970.0,35.0
2017,7,26,12,4,29.9,155.6,970.0,35.0
2017,7,26,18,4,30.4,154.1,970.0,35.0
2017,7,27,0,4,30.8,152.2,970.0,35.0
2017,7,27,6,4,31.0,150.6,970.0,35.0
2017,7,27,12,4,30.8,148.5,970.0,35.0
2017,7,27,18,4,30.4,146.9,970.0,35.0
2017,7,28,0,4,29.6,145.3,975.0,33.0
2017,7,28,6,4,28.8,144.4,975.0,33.0
2017,7,28,12,4,28.2,143.4,975.0,33.0
2017,7,28,18,4,27.8,143.0,975.0,33.0
2017,7,29,0,3,27.2,142.6,980.0,30.0
2017,7,29,6,3,26.3,142.2,980.0,30.0
2017,7,29,12,3,25.3,141.9,980.0,30.0
2017,7,29,18,3,24.5,141.8,980.0,30.0
2017,7,30,0,4,23.9,141.6,975.0,33.0
2017,7,30,6,4,23.4,141.5,970.0,35.0
2017,7,30,12,5,22.9,141.4,955.0,42.0
2017,7,30,18,6,22.8,140.9,935.0,52.0
2017,7,31,0,6,22.8,140.4,935.0,52.0
2017,7,31,6,6,22.9,139.9,935.0,52.0
2017,7,31,12,6,23.0,139.3,935.0,52.0
2017,7,31,18,5,23.3,138.8,945.0,48.0
2017,8,1,0,5,23.6,138.3,945.0,48.0
2017,8,1,6,5,24.0,137.7,950.0,45.0
2017,8,1,12,5,24.5,137.2,950.0,45.0
2017,8,1,18,5,25.0,136.7,950.0,45.0
2017,8,2,0,5,25.4,136.4,950.0,45.0
2017,8,2,6,5,25.8,136.0,950.0,45.0
2017,8,2,12,5,26.2,135.6,950.0,45.0
2017,8,2,18,5,26.7,135.4,950.0,45.0
2017,8,3,0,5,27.4,134.9,955.0,42.0
2017,8,3,6,5,27.9,134.1,955.0,42.0
2017,8,3,12,4,28.1,133.4,960.0,40.0
2017,8,3,18,4,28.3,132.4,960.0,40.0
2017,8,4,0,4,28.5,131.4,960.0,40.0
2017,8,4,6,4,28.7,131.1,965.0,38.0
2017,8,4,12,4,28.9,130.8,965.0,38.0
2017,8,4,18,4,29.2,130.4,965.0,38.0
2017,8,5,0,4,29.6,130.2,965.0,38.0
2017,8,5,6,4,29.8,130.1,965.0,38.0
2017,8,5,12,4,30.0,130.1,965.0,38.0
2017,8,5,18,4,30.3,130.5,975.0,33.0
2017,8,6,0,4,30.7,130.9,975.0,33.0
2017,8,6,6,4,31.1,131.4,975.0,33.0
2017,8,6,12,4,31.7,132.2,975.0,33.0
2017,8,6,18,4,32.5,132.9,975.0,33.0
2017,8,7,0,4,33.2,133.8,975.0,33.0
2017,8,7,6,3,34.0,135.0,980.0,30.0
2017,8,7,12,3,35.1,136.3,982.0,28.0
2017,8,7,18,2,35.9,136.9,985.0,23.0
2017,8,8,0,2,36.8,137.7,990.0,18.0
2017,8,8,6,9,37.7,138.2,990.0,18.0
2017,8,8,12,9,38.5,138.6,992.0,15.0
2017,8,8,18,9,38.9,138.9,994.0,13.0
2017,8,9,0,9,39.3,139.3,994.0,13.0
