year,month,day,hour,power,lat,lng,PRES,WND
2017,7,21,6,1,18.7,124.2,1002.0,13.0
2017,7,21,12,1,19.3,123.1,1002.0,13.0
2017,7,21,18,1,20.0,121.9,1002.0,13.0
2017,7,22,0,1,20.7,120.7,1000.0,15.0
2017,7,22,3,1,21.0,119.9,1000.0,15.0
2017,7,22,6,1,21.3,119.1,1000.0,15.0
2017,7,22,9,2,21.5,118.5,998.0,18.0
2017,7,22,12,2,21.6,117.7,998.0,18.0
2017,7,22,15,2,21.7,116.9,998.0,18.0
2017,7,22,18,2,21.8,116.2,998.0,18.0
2017,7,22,21,2,22.0,115.5,998.0,18.0
2017,7,23,0,2,22.3,114.8,995.0,20.0
2017,7,23,6,1,22.7,113.3,1000.0,15.0
2017,7,23,12,1,22.6,111.1,1004.0,13.0
