year,month,day,hour,power,lat,lng,PRES,WND
2017,8,27,12,1,18.8,147.0,1002.0,13.0
2017,8,27,18,1,19.1,147.1,1002.0,13.0
2017,8,28,0,1,19.4,147.1,1000.0,15.0
2017,8,28,6,2,19.7,147.1,998.0,18.0
2017,8,28,12,2,20.1,147.2,998.0,18.0
2017,8,28,18,2,20.9,147.6,995.0,20.0
2017,8,29,0,2,21.7,147.8,995.0,20.0
2017,8,29,6,2,22.6,147.8,990.0,23.0
2017,8,29,12,2,24.2,147.4,990.0,23.0
2017,8,29,18,2,25.7,146.0,990.0,23.0
2017,8,30,0,3,26.7,144.2,988.0,25.0
2017,8,30,6,3,26.8,142.8,988.0,25.0
2017,8,30,12,3,26.9,141.4,988.0,25.0
2017,8,30,18,3,26.6,140.8,985.0,28.0
2017,8,31,0,3,26.8,141.8,985.0,28.0
2017,8,31,6,3,27.2,142.0,980.0,30.0
2017,8,31,12,4,27.9,141.9,975.0,33.0
2017,8,31,18,4,27.7,141.6,970.0,35.0
2017,9,1,0,4,27.2,142.3,960.0,40.0
2017,9,1,6,4,27.3,143.1,960.0,40.0
2017,9,1,12,4,27.9,143.6,965.0,38.0
2017,9,1,18,4,28.5,144.0,970.0,35.0
2017,9,2,0,4,29.4,144.6,970.0,35.0
2017,9,2,6,4,31.3,145.7,975.0,33.0
2017,9,2,12,4,33.0,147.0,975.0,33.0
2017,9,2,18,3,35.2,148.1,980.0,30.0
2017,9,3,0,3,38.4,150.1,982.0,28.0
2017,9,3,6,3,41.6,152.7,985.0,25.0
2017,9,3,12,9,45.2,154.6,985.0,23.0
2017,9,3,18,9,47.8,156.6,985.0,20.0
2017,9,4,0,9,49.6,157.0,975.0,20.0
2017,9,4,6,9,50.4,158.0,970.0,20.0
2017,9,4,12,9,51.3,159.3,970.0,20.0
2017,9,4,18,9,52.0,161.0,975.0,18.0
2017,9,5,0,9,52.6,164.0,980.0,18.0
2017,9,5,6,9,53.0,166.8,980.0,18.0
2017,9,5,12,9,53.5,170.0,980.0,18.0
2017,9,5,18,9,53.8,172.8,988.0,15.0
2017,9,6,0,9,53.6,175.8,990.0,15.0
2017,9,6,6,9,53.2,179.0,990.0,15.0
