year,month,day,hour,power,lat,lng,PRES,WND
2017,7,21,0,1,17.5,114.5,1004.0,13.0
2017,7,21,6,1,17.8,113.7,1004.0,13.0
2017,7,21,12,1,17.9,113.1,1004.0,13.0
2017,7,21,18,1,17.9,112.7,1004.0,13.0
2017,7,22,0,1,17.8,112.3,1004.0,13.0
2017,7,22,6,1,17.7,112.0,1000.0,15.0
2017,7,22,12,2,17.7,111.7,998.0,18.0
2017,7,22,18,2,17.7,111.5,998.0,18.0
2017,7,23,0,2,17.6,111.4,998.0,18.0
2017,7,23,6,2,17.5,111.4,998.0,18.0
2017,7,23,12,2,17.4,111.4,998.0,18.0
2017,7,23,18,2,17.2,111.4,998.0,18.0
2017,7,24,0,2,17.1,111.2,998.0,18.0
2017,7,24,6,2,17.0,110.9,998.0,18.0
2017,7,24,12,2,16.9,110.3,995.0,20.0
2017,7,24,18,2,17.0,109.6,995.0,20.0
2017,7,25,0,2,17.2,108.7,995.0,20.0
2017,7,25,6,2,17.1,107.3,995.0,20.0
2017,7,25,12,2,16.8,106.0,998.0,18.0
2017,7,25,18,1,16.3,104.9,998.0,15.0
2017,7,26,0,1,16.1,104.2,998.0,15.0
2017,7,26,6,1,16.1,103.7,998.0,15.0
2017,7,26,12,1,16.1,103.3,998.0,15.0
2017,7,26,18,1,16.2,103.0,998.0,15.0
2017,7,27,0,1,16.5,103.1,998.0,15.0
2017,7,27,6,1,16.7,103.5,998.0,15.0
2017,7,27,12,1,16.9,103.8,1000.0,13.0
2017,7,27,18,1,17.1,104.2,1000.0,13.0
2017,7,28,0,0,17.4,104.1,1002.0,10.0
2017,7,28,6,0,17.6,104.0,1002.0,10.0
2017,7,28,12,0,17.6,103.8,1002.0,10.0
2017,7,28,18,0,17.7,103.6,1004.0,10.0
2017,7,29,0,0,17.8,103.7,1004.0,10.0
2017,7,29,6,0,17.9,103.8,1004.0,10.0
