year,month,day,hour,power,lat,lng,PRES,WND
2018,9,8,6,1,20.4,121.5,1002.0,13.0
2018,9,8,12,1,20.6,122.2,1002.0,13.0
2018,9,8,18,1,21.0,122.6,1002.0,13.0
2018,9,9,0,1,21.3,122.9,1002.0,13.0
2018,9,9,6,1,21.6,122.9,1002.0,13.0
2018,9,9,12,1,21.7,122.6,1002.0,13.0
2018,9,9,18,1,21.7,122.3,1002.0,13.0
2018,9,10,0,1,21.6,121.9,1002.0,13.0
2018,9,10,6,1,21.4,121.5,1002.0,13.0
2018,9,10,12,1,21.2,120.6,1002.0,15.0
2018,9,10,18,1,21.0,119.5,1002.0,15.0
2018,9,11,0,2,20.8,118.7,1000.0,18.0
2018,9,11,6,2,20.7,118.1,995.0,20.0
2018,9,11,12,2,20.5,117.4,995.0,20.0
2018,9,11,18,2,20.5,116.4,995.0,20.0
2018,9,12,0,2,20.7,115.4,995.0,20.0
2018,9,12,3,2,20.8,114.9,992.0,23.0
2018,9,12,6,2,20.9,114.5,992.0,23.0
2018,9,12,9,2,21.0,114.0,992.0,23.0
2018,9,12,12,2,20.9,113.4,992.0,23.0
2018,9,12,15,2,20.8,112.8,992.0,23.0
2018,9,12,18,2,20.8,112.1,992.0,23.0
2018,9,12,21,3,20.9,111.4,990.0,25.0
2018,9,13,0,3,21.2,110.8,990.0,25.0
2018,9,13,3,2,21.4,110.1,998.0,20.0
2018,9,13,6,1,21.6,109.5,1002.0,15.0
2018,9,13,9,1,21.7,108.9,1004.0,13.0
2018,9,13,12,1,21.6,108.4,1004.0,13.0
2018,9,13,15,0,21.7,107.8,1006.0,10.0
2018,9,13,18,0,21.7,107.2,1006.0,10.0
