year,month,day,hour,power,lat,lng,PRES,WND
2018,8,9,0,1,16.9,111.7,998.0,13.0
2018,8,9,3,1,17.2,111.6,998.0,13.0
2018,8,9,6,1,17.5,111.5,998.0,13.0
2018,8,9,9,1,17.7,111.4,998.0,13.0
2018,8,9,12,1,17.9,111.4,998.0,13.0
2018,8,9,15,1,18.1,111.4,998.0,13.0
2018,8,9,18,1,18.4,111.2,998.0,15.0
2018,8,9,21,1,18.8,110.9,998.0,15.0
2018,8,10,0,1,19.3,110.6,998.0,15.0
2018,8,10,3,1,19.8,110.4,998.0,15.0
2018,8,10,6,1,19.9,110.9,998.0,15.0
2018,8,10,9,1,20.1,111.3,998.0,15.0
2018,8,10,12,1,20.4,111.5,998.0,15.0
2018,8,10,15,1,20.7,111.6,998.0,15.0
2018,8,10,18,1,20.9,111.8,998.0,15.0
2018,8,10,21,1,21.1,112.1,998.0,15.0
2018,8,11,0,1,21.4,112.3,998.0,15.0
2018,8,11,3,1,21.8,112.4,998.0,15.0
2018,8,11,6,1,21.9,112.0,998.0,15.0
2018,8,11,9,1,21.8,111.6,998.0,15.0
2018,8,11,12,1,21.7,111.3,998.0,15.0
2018,8,11,15,1,21.5,111.2,998.0,15.0
2018,8,11,18,1,21.3,111.3,998.0,15.0
2018,8,11,21,1,21.2,111.5,998.0,15.0
2018,8,12,0,1,21.1,111.7,998.0,15.0
2018,8,12,3,1,21.0,111.9,998.0,15.0
2018,8,12,6,2,21.0,112.1,995.0,18.0
2018,8,12,9,2,20.9,112.2,995.0,18.0
2018,8,12,12,2,20.7,112.3,995.0,18.0
2018,8,12,15,2,20.6,112.4,995.0,18.0
2018,8,12,18,2,20.6,112.6,995.0,18.0
2018,8,12,21,2,20.7,112.8,995.0,18.0
2018,8,13,0,2,20.7,112.9,995.0,18.0
2018,8,13,3,2,20.6,113.0,990.0,20.0
2018,8,13,6,2,20.6,113.2,990.0,20.0
2018,8,13,9,2,20.6,113.3,988.0,23.0
2018,8,13,12,2,20.6,113.3,988.0,23.0
2018,8,13,15,2,20.5,113.4,988.0,23.0
2018,8,13,18,2,20.5,113.5,988.0,23.0
2018,8,13,21,2,20.6,113.6,988.0,23.0
2018,8,14,0,2,20.8,113.7,988.0,23.0
2018,8,14,3,2,20.9,113.7,988.0,23.0
2018,8,14,6,2,21.0,113.7,988.0,23.0
2018,8,14,9,3,21.1,113.6,985.0,25.0
2018,8,14,12,3,21.2,113.4,985.0,25.0
2018,8,14,15,3,21.2,113.1,985.0,25.0
2018,8,14,18,3,21.1,112.8,985.0,25.0
2018,8,14,21,3,21.0,112.4,985.0,25.0
2018,8,15,0,3,20.9,112.0,985.0,25.0
2018,8,15,3,3,20.9,111.7,985.0,25.0
2018,8,15,6,3,21.0,111.4,985.0,25.0
2018,8,15,9,3,20.9,111.1,985.0,25.0
2018,8,15,12,2,20.8,110.7,985.0,23.0
2018,8,15,15,2,20.7,110.2,990.0,20.0
2018,8,15,18,2,20.6,109.6,990.0,20.0
2018,8,16,0,3,20.3,108.7,985.0,25.0
2018,8,16,6,3,20.0,108.0,982.0,28.0
2018,8,16,12,3,19.9,107.3,982.0,28.0
2018,8,16,18,3,19.7,106.4,985.0,25.0
2018,8,17,0,2,19.4,105.5,990.0,23.0
2018,8,17,6,1,19.8,103.7,994.0,15.0
2018,8,17,12,1,20.0,102.1,996.0,13.0
2018,8,17,18,1,19.6,100.1,996.0,13.0
