year,month,day,hour,power,lat,lng,PRES,WND
2017,12,30,18,1,9.6,135.1,1006.0,13.0
2017,12,31,0,1,9.6,134.1,1006.0,13.0
2017,12,31,6,1,9.5,133.2,1006.0,13.0
2017,12,31,12,1,9.2,132.2,1006.0,13.0
2017,12,31,18,1,8.9,131.0,1006.0,13.0
2018,1,1,0,1,8.8,129.8,1006.0,13.0
2018,1,1,6,1,8.9,128.3,1004.0,15.0
2018,1,1,12,1,9.4,126.5,1004.0,15.0
2018,1,1,18,1,9.4,124.5,1004.0,15.0
2018,1,2,0,1,9.3,122.5,1004.0,15.0
2018,1,2,6,1,9.3,120.8,1004.0,15.0
2018,1,2,12,1,9.6,119.2,1004.0,15.0
2018,1,2,18,1,9.9,117.4,1004.0,15.0
2018,1,3,0,2,10.4,116.0,1000.0,18.0
2018,1,3,6,2,10.9,114.8,1000.0,18.0
2018,1,3,12,2,11.2,113.3,1000.0,18.0
2018,1,3,18,2,11.6,112.2,1000.0,18.0
2018,1,4,0,1,12.3,111.0,1004.0,15.0
2018,1,4,6,0,12.2,109.9,1008.0,10.0
