year,month,day,hour,power,lat,lng,PRES,WND
2018,6,13,12,1,21.5,117.3,996.0,13.0
2018,6,13,18,1,21.7,118.0,996.0,13.0
2018,6,14,0,1,21.8,118.7,994.0,15.0
2018,6,14,3,1,21.9,119.0,994.0,15.0
2018,6,14,6,1,22.0,119.3,994.0,15.0
2018,6,14,9,1,22.2,119.6,994.0,15.0
2018,6,14,12,1,22.4,119.8,994.0,15.0
2018,6,14,15,1,22.5,120.0,994.0,15.0
2018,6,14,18,1,22.6,120.1,994.0,15.0
2018,6,14,21,1,22.7,120.2,994.0,15.0
2018,6,15,0,1,22.8,120.2,992.0,15.0
2018,6,15,6,1,23.4,121.7,992.0,15.0
2018,6,15,12,2,24.5,123.6,992.0,18.0
2018,6,15,18,2,25.5,125.1,992.0,18.0
2018,6,16,0,2,26.4,127.2,992.0,18.0
2018,6,16,6,2,27.0,128.8,990.0,20.0
2018,6,16,12,2,27.3,130.5,990.0,20.0
2018,6,16,18,2,27.8,131.4,992.0,18.0
2018,6,17,0,9,28.5,132.1,996.0,15.0
2018,6,17,6,9,29.4,132.7,996.0,15.0
2018,6,17,12,9,30.0,133.5,996.0,15.0
2018,6,17,18,9,30.5,134.2,996.0,15.0
2018,6,18,0,9,31.0,135.3,996.0,15.0
2018,6,18,6,9,31.7,137.2,996.0,15.0
2018,6,18,12,9,32.0,139.0,1000.0,13.0
2018,6,18,18,9,32.6,141.6,1000.0,13.0
2018,6,19,0,9,33.7,144.0,1000.0,13.0
2018,6,19,6,9,34.9,146.3,1000.0,13.0
2018,6,19,12,9,35.8,148.2,1000.0,13.0
2018,6,19,18,9,36.1,150.2,1000.0,13.0
2018,6,20,0,9,36.6,151.0,1000.0,13.0
2018,6,20,6,9,37.3,151.7,1000.0,13.0
