year,month,day,hour,power,lat,lng,PRES,WND
2018,6,6,0,1,13.0,131.1,1004.0,13.0
2018,6,6,6,1,13.8,130.4,1004.0,13.0
2018,6,6,12,1,14.5,129.7,1004.0,13.0
2018,6,6,18,1,15.1,129.2,1004.0,13.0
2018,6,7,0,1,15.6,128.7,1002.0,15.0
2018,6,7,6,1,16.0,128.5,1002.0,15.0
2018,6,7,12,1,16.7,128.1,1002.0,15.0
2018,6,7,18,1,17.2,127.8,1002.0,15.0
2018,6,8,0,2,17.7,127.6,996.0,18.0
2018,6,8,6,2,18.8,127.1,996.0,18.0
2018,6,8,12,2,19.7,126.7,996.0,18.0
2018,6,8,18,2,20.4,126.7,994.0,20.0
2018,6,9,0,2,21.5,127.0,990.0,23.0
2018,6,9,6,3,22.2,127.6,985.0,25.0
2018,6,9,12,3,22.8,128.1,985.0,25.0
2018,6,9,18,3,23.5,128.9,980.0,25.0
2018,6,10,0,3,25.0,130.6,975.0,30.0
2018,6,10,6,3,26.3,132.3,975.0,30.0
2018,6,10,12,3,27.7,134.2,978.0,28.0
2018,6,10,18,3,28.9,136.4,978.0,28.0
2018,6,11,0,3,30.5,138.8,980.0,25.0
2018,6,11,6,3,32.6,141.3,980.0,25.0
2018,6,11,12,2,34.6,144.6,982.0,23.0
2018,6,11,18,9,36.5,147.7,982.0,23.0
2018,6,12,0,9,38.0,149.8,984.0,18.0
2018,6,12,6,9,38.8,152.1,984.0,18.0
