year,month,day,hour,power,lat,lng,PRES,WND
2018,7,16,0,1,18.8,125.3,1002.0,13.0
2018,7,16,6,1,18.8,123.8,1000.0,15.0
2018,7,16,12,1,18.7,122.4,1000.0,15.0
2018,7,16,18,1,19.0,120.8,1000.0,15.0
2018,7,16,21,1,19.2,119.6,1000.0,15.0
2018,7,17,0,2,19.4,118.4,995.0,18.0
2018,7,17,3,2,19.4,117.0,995.0,18.0
2018,7,17,6,2,19.4,115.8,995.0,18.0
2018,7,17,9,2,19.2,114.7,992.0,20.0
2018,7,17,12,2,19.0,113.5,992.0,20.0
2018,7,17,15,2,19.0,112.3,988.0,23.0
2018,7,17,18,2,18.9,111.3,988.0,23.0
2018,7,17,21,2,18.8,110.4,988.0,23.0
2018,7,18,0,2,18.8,109.5,995.0,18.0
2018,7,18,3,2,18.8,108.8,995.0,18.0
2018,7,18,6,2,18.7,108.0,992.0,20.0
2018,7,18,12,2,18.7,106.7,992.0,20.0
2018,7,18,18,2,18.9,105.6,992.0,20.0
2018,7,19,0,2,19.1,104.4,995.0,18.0
2018,7,19,6,1,19.4,103.4,1000.0,15.0
2018,7,19,12,1,19.4,102.8,1000.0,15.0
2018,7,19,18,1,19.7,103.4,1002.0,13.0
2018,7,20,0,1,19.9,103.8,1002.0,13.0
2018,7,20,6,1,20.2,104.2,1002.0,13.0
2018,7,20,12,1,20.3,104.7,1000.0,13.0
2018,7,20,18,1,20.2,105.2,1000.0,13.0
2018,7,21,0,1,20.1,105.6,1000.0,13.0
2018,7,21,6,1,19.9,106.0,1000.0,13.0
2018,7,21,12,1,19.7,106.4,998.0,15.0
2018,7,21,15,1,19.5,106.8,998.0,15.0
2018,7,21,18,1,19.4,107.1,998.0,15.0
2018,7,21,21,1,19.3,107.4,998.0,15.0
2018,7,22,0,1,19.2,107.7,998.0,15.0
2018,7,22,3,1,19.1,108.0,998.0,15.0
2018,7,22,6,1,19.0,108.3,998.0,15.0
2018,7,22,9,1,18.9,108.5,990.0,15.0
2018,7,22,12,1,18.9,108.8,990.0,15.0
2018,7,22,15,1,19.1,109.1,994.0,15.0
2018,7,22,18,1,19.4,109.4,994.0,15.0
2018,7,22,21,1,19.7,109.6,994.0,15.0
2018,7,23,0,1,20.0,109.8,994.0,15.0
2018,7,23,3,1,20.3,110.0,994.0,15.0
2018,7,23,6,1,20.4,110.1,994.0,15.0
2018,7,23,9,1,20.5,110.2,994.0,15.0
2018,7,23,12,1,20.6,110.3,994.0,15.0
2018,7,23,15,1,20.8,110.4,994.0,15.0
2018,7,23,18,1,21.1,110.4,994.0,15.0
2018,7,23,21,1,21.5,110.4,994.0,15.0
2018,7,24,0,1,22.0,110.1,994.0,15.0
2018,7,24,3,1,22.4,109.6,994.0,13.0
2018,7,24,6,1,22.6,109.1,994.0,13.0
2018,7,24,9,1,22.8,108.7,996.0,13.0
2018,7,24,12,1,23.0,108.3,996.0,13.0
