year,month,day,hour,power,lat,lng,PRES,WND
2018,9,20,12,1,12.8,146.0,1002.0,13.0
2018,9,20,18,1,13.9,145.1,1000.0,13.0
2018,9,21,0,1,14.5,144.4,1000.0,15.0
2018,9,21,6,2,15.0,143.5,998.0,18.0
2018,9,21,12,2,15.4,142.6,998.0,18.0
2018,9,21,18,2,15.5,141.6,995.0,20.0
2018,9,22,0,3,16.0,140.2,988.0,25.0
2018,9,22,6,3,16.6,138.9,988.0,25.0
2018,9,22,12,3,16.8,137.6,985.0,28.0
2018,9,22,18,4,16.9,135.9,975.0,33.0
2018,9,23,0,4,17.1,135.1,965.0,38.0
2018,9,23,6,5,17.3,134.2,955.0,42.0
2018,9,23,12,5,17.5,133.3,950.0,45.0
2018,9,23,18,5,18.1,132.2,945.0,50.0
2018,9,24,0,6,18.4,131.3,935.0,52.0
2018,9,24,6,6,18.9,130.4,925.0,58.0
2018,9,24,12,6,19.3,129.7,925.0,58.0
2018,9,24,18,6,19.6,129.1,920.0,60.0
2018,9,25,0,6,19.6,128.7,920.0,60.0
2018,9,25,6,6,19.8,128.8,920.0,60.0
2018,9,25,12,6,20.0,128.9,930.0,55.0
2018,9,25,18,6,20.3,128.9,935.0,52.0
2018,9,26,0,5,20.7,129.0,945.0,48.0
2018,9,26,6,5,21.0,129.2,945.0,48.0
2018,9,26,12,5,21.3,129.2,945.0,48.0
2018,9,26,18,5,21.4,129.2,945.0,48.0
2018,9,27,0,5,21.6,129.1,950.0,45.0
2018,9,27,6,5,21.7,129.0,950.0,45.0
2018,9,27,12,5,21.9,128.8,950.0,45.0
2018,9,27,18,5,22.2,128.5,950.0,45.0
2018,9,28,0,5,22.5,127.9,950.0,45.0
2018,9,28,6,5,23.1,127.3,950.0,45.0
2018,9,28,12,5,23.8,127.0,950.0,45.0
2018,9,28,18,5,24.5,126.8,950.0,45.0
2018,9,29,0,5,25.4,126.8,950.0,45.0
2018,9,29,6,5,26.3,127.3,950.0,45.0
2018,9,29,12,5,27.8,128.5,950.0,45.0
2018,9,29,18,5,29.1,129.5,950.0,45.0
2018,9,30,0,5,30.4,131.0,950.0,45.0
2018,9,30,6,5,32.4,133.2,955.0,42.0
2018,9,30,12,5,34.3,136.0,955.0,42.0
2018,9,30,18,4,37.3,140.0,970.0,38.0
2018,10,1,0,9,41.5,144.2,975.0,33.0
2018,10,1,6,9,44.5,150.7,980.0,28.0
2018,10,1,12,9,47.9,157.9,980.0,28.0
2018,10,1,18,9,50.6,163.0,980.0,28.0
2018,10,2,0,9,52.6,166.6,975.0,28.0
2018,10,2,6,9,53.8,170.0,975.0,28.0
2018,10,2,12,9,55.4,172.8,975.0,28.0
2018,10,2,18,9,56.4,174.2,975.0,28.0
2018,10,3,0,9,57.0,174.8,970.0,28.0
2018,10,3,6,9,56.8,176.0,970.0,28.0
2018,10,3,12,9,55.6,179.9,965.0,28.0
