year,month,day,hour,power,lat,lng,PRES,WND
2019,8,20,0,1,13.5,133.8,1000.0,15.0
2019,8,20,6,1,13.8,133.6,1000.0,15.0
2019,8,20,12,1,14.1,133.1,1000.0,15.0
2019,8,20,18,1,14.3,132.5,1000.0,15.0
2019,8,21,0,1,14.5,132.1,1000.0,15.0
2019,8,21,6,2,15.0,131.2,998.0,18.0
2019,8,21,12,2,15.3,130.5,998.0,18.0
2019,8,21,18,2,15.6,129.8,998.0,18.0
2019,8,22,0,2,15.9,129.3,995.0,20.0
2019,8,22,6,2,16.1,128.9,995.0,20.0
2019,8,22,12,2,16.4,128.1,990.0,23.0
2019,8,22,18,3,17.2,127.1,988.0,25.0
2019,8,23,0,3,18.3,126.5,988.0,25.0
2019,8,23,6,3,19.1,125.4,988.0,25.0
2019,8,23,9,3,19.5,125.0,988.0,25.0
2019,8,23,12,3,19.8,124.6,985.0,28.0
2019,8,23,15,3,20.2,124.0,985.0,28.0
2019,8,23,18,3,20.7,123.2,985.0,28.0
2019,8,23,21,3,21.1,122.6,980.0,30.0
2019,8,24,0,3,21.4,121.8,980.0,30.0
2019,8,24,3,3,21.8,121.2,980.0,30.0
2019,8,24,6,3,22.2,120.6,980.0,30.0
2019,8,24,9,3,22.6,120.1,980.0,30.0
2019,8,24,12,3,23.1,119.2,980.0,30.0
2019,8,24,15,3,23.1,118.4,985.0,28.0
2019,8,24,18,3,23.0,118.1,990.0,25.0
2019,8,24,21,3,23.2,117.8,990.0,25.0
2019,8,25,0,2,23.7,117.3,992.0,20.0
2019,8,25,3,2,24.2,116.6,995.0,18.0
2019,8,25,6,1,24.5,115.7,998.0,15.0
2019,8,25,9,1,24.8,114.9,998.0,15.0
2019,8,25,12,1,24.8,114.2,998.0,15.0
2019,8,25,15,1,24.7,113.7,1000.0,13.0
2019,8,25,18,1,24.7,113.3,1000.0,13.0
2019,8,25,21,0,24.8,112.9,1002.0,10.0
2019,8,26,0,0,25.1,112.4,1002.0,10.0
2019,8,26,3,0,25.5,112.0,1002.0,10.0
2019,8,26,6,0,25.8,111.4,1002.0,10.0
