year,month,day,hour,power,lat,lng,PRES,WND
2019,10,5,0,1,15.2,162.5,1002.0,13.0
2019,10,5,6,1,15.2,161.1,1000.0,15.0
2019,10,5,12,1,15.1,160.0,1000.0,15.0
2019,10,5,18,2,15.1,158.2,995.0,18.0
2019,10,6,0,2,14.7,155.7,990.0,23.0
2019,10,6,6,3,14.4,154.2,985.0,25.0
2019,10,6,12,3,14.5,152.8,980.0,30.0
2019,10,6,18,4,14.9,151.1,970.0,35.0
2019,10,7,0,5,15.2,149.5,955.0,45.0
2019,10,7,6,6,15.5,148.2,935.0,55.0
2019,10,7,12,6,16.1,146.5,915.0,65.0
2019,10,7,18,6,16.5,144.9,915.0,65.0
2019,10,8,0,6,16.9,143.8,925.0,60.0
2019,10,8,6,6,17.7,142.7,935.0,55.0
2019,10,8,12,6,18.4,141.8,925.0,60.0
2019,10,8,18,6,19.3,140.8,925.0,60.0
2019,10,9,0,6,19.8,140.4,920.0,62.0
2019,10,9,6,6,20.6,139.9,920.0,62.0
2019,10,9,12,6,21.2,139.7,930.0,58.0
2019,10,9,18,6,22.0,139.7,930.0,58.0
2019,10,10,0,6,23.2,139.8,930.0,58.0
2019,10,10,6,6,24.4,139.4,935.0,55.0
2019,10,10,12,6,25.3,138.9,940.0,52.0
2019,10,10,18,5,26.3,138.5,945.0,50.0
2019,10,11,0,5,27.5,137.9,945.0,50.0
2019,10,11,6,5,28.8,137.5,945.0,50.0
2019,10,11,12,5,29.9,137.1,950.0,48.0
2019,10,11,18,5,30.8,137.0,955.0,45.0
2019,10,12,0,5,32.1,137.4,955.0,45.0
2019,10,12,6,5,33.7,138.2,960.0,42.0
2019,10,12,12,4,35.6,139.4,965.0,38.0
2019,10,12,18,4,38.1,141.7,970.0,33.0
2019,10,13,0,9,39.9,144.9,975.0,30.0
2019,10,13,6,9,42.0,149.6,980.0,25.0
2019,10,13,12,9,44.4,156.2,985.0,23.0
2019,10,13,18,9,47.2,163.8,985.0,20.0
2019,10,14,0,9,50.6,171.0,980.0,20.0
2019,10,14,6,9,53.4,175.8,975.0,20.0
2019,10,14,12,9,57.0,179.7,970.0,20.0
