year,month,day,hour,power,lat,lng,PRES,WND
2019,11,1,18,1,10.7,160.8,1002.0,13.0
2019,11,2,0,1,11.7,159.5,1000.0,15.0
2019,11,2,6,1,12.8,158.5,1000.0,15.0
2019,11,2,12,1,13.5,157.6,1000.0,15.0
2019,11,2,18,2,14.3,156.4,998.0,18.0
2019,11,3,0,2,14.9,155.2,998.0,18.0
2019,11,3,6,2,15.4,154.6,995.0,20.0
2019,11,3,12,3,15.9,154.2,990.0,25.0
2019,11,3,18,3,16.5,153.8,985.0,28.0
2019,11,4,0,4,17.1,153.5,975.0,33.0
2019,11,4,6,4,17.8,153.2,970.0,35.0
2019,11,4,12,4,18.2,152.7,960.0,40.0
2019,11,4,18,5,18.8,152.3,945.0,48.0
2019,11,5,0,6,19.1,151.8,935.0,52.0
2019,11,5,6,6,19.7,151.3,925.0,58.0
2019,11,5,12,6,19.9,150.8,915.0,62.0
2019,11,5,18,6,20.3,150.5,905.0,68.0
2019,11,6,0,6,20.8,150.4,905.0,68.0
2019,11,6,6,6,21.2,150.5,915.0,62.0
2019,11,6,12,6,21.6,150.7,930.0,55.0
2019,11,6,18,6,22.2,151.0,935.0,52.0
2019,11,7,0,5,23.2,151.2,945.0,48.0
2019,11,7,6,5,23.9,151.3,950.0,45.0
2019,11,7,12,5,24.8,152.0,955.0,42.0
2019,11,7,18,4,25.6,152.9,960.0,40.0
2019,11,8,0,4,26.7,154.6,965.0,38.0
2019,11,8,6,4,28.3,156.4,970.0,35.0
2019,11,8,12,9,29.5,158.5,980.0,30.0
2019,11,8,18,9,30.5,159.7,985.0,25.0
2019,11,9,0,9,31.3,160.8,992.0,18.0
2019,11,9,6,9,31.6,162.5,1000.0,15.0
2019,11,9,12,9,32.1,164.7,1002.0,13.0
2019,11,9,18,9,32.4,166.6,1002.0,13.0
2019,11,10,0,9,32.6,168.7,1002.0,13.0
