year,month,day,hour,power,lat,lng,PRES,WND
2019,8,31,0,1,6.3,133.5,1002.0,13.0
2019,8,31,6,1,6.9,132.7,1002.0,13.0
2019,8,31,12,1,8.3,131.9,1002.0,13.0
2019,8,31,18,1,9.7,131.1,1002.0,13.0
2019,9,1,0,1,11.0,130.0,1002.0,13.0
2019,9,1,6,1,12.4,128.9,1002.0,13.0
2019,9,1,12,1,13.4,127.9,1000.0,15.0
2019,9,1,18,1,14.3,127.2,1000.0,15.0
2019,9,2,0,2,15.3,126.0,998.0,18.0
2019,9,2,6,2,16.8,124.9,998.0,18.0
2019,9,2,12,2,18.2,124.3,995.0,20.0
2019,9,2,18,2,18.9,124.0,990.0,23.0
2019,9,3,0,3,19.6,123.9,985.0,25.0
2019,9,3,6,3,20.6,124.0,980.0,30.0
2019,9,3,12,4,21.3,124.2,975.0,33.0
2019,9,3,18,4,21.8,124.4,970.0,35.0
2019,9,4,0,4,22.1,124.7,970.0,35.0
2019,9,4,6,4,22.4,125.0,965.0,38.0
2019,9,4,12,4,23.0,125.4,960.0,40.0
2019,9,4,18,5,23.6,125.4,955.0,42.0
2019,9,5,0,5,24.2,125.3,945.0,48.0
2019,9,5,6,6,25.0,125.3,940.0,52.0
2019,9,5,12,6,25.8,125.2,930.0,55.0
2019,9,5,18,6,26.8,125.1,930.0,55.0
2019,9,6,0,6,28.1,125.0,930.0,55.0
2019,9,6,6,6,29.6,125.1,930.0,55.0
2019,9,6,12,5,31.4,125.1,945.0,48.0
2019,9,6,18,5,33.6,125.0,955.0,42.0
2019,9,7,0,4,35.6,125.0,965.0,38.0
2019,9,7,6,4,38.0,125.3,975.0,33.0
2019,9,7,12,3,41.3,126.4,985.0,25.0
2019,9,7,18,2,44.3,128.2,985.0,20.0
2019,9,8,0,9,47.2,130.4,984.0,18.0
2019,9,8,6,9,48.8,132.6,982.0,18.0
2019,9,8,12,9,51.6,137.2,982.0,18.0
2019,9,8,18,9,53.0,140.0,976.0,18.0
2019,9,9,0,9,54.3,143.0,976.0,18.0
2019,9,9,6,9,54.4,147.7,976.0,18.0
2019,9,9,12,9,54.6,151.2,976.0,15.0
2019,9,9,18,9,55.0,154.9,976.0,15.0
2019,9,10,0,9,56.0,163.6,980.0,15.0
2019,9,10,6,9,56.9,166.2,982.0,13.0
2019,9,10,12,9,57.4,168.0,982.0,13.0
2019,9,10,18,9,57.8,170.0,982.0,13.0
2019,9,11,0,9,58.3,171.9,982.0,13.0
