year,month,day,hour,power,lat,lng,PRES,WND
2019,10,15,0,1,15.8,135.9,1002.0,13.0
2019,10,15,6,1,16.1,135.2,1002.0,13.0
2019,10,15,12,1,16.5,134.5,1002.0,13.0
2019,10,15,18,1,16.9,133.7,1000.0,15.0
2019,10,16,0,1,17.4,132.8,1000.0,15.0
2019,10,16,6,1,17.9,131.9,1000.0,15.0
2019,10,16,12,1,18.2,131.3,1000.0,15.0
2019,10,16,18,1,18.4,130.7,1000.0,15.0
2019,10,17,0,2,18.7,130.3,998.0,18.0
2019,10,17,6,2,19.1,130.0,998.0,18.0
2019,10,17,12,2,19.4,129.9,998.0,18.0
2019,10,17,18,2,19.6,129.8,995.0,20.0
2019,10,18,0,2,19.8,129.7,995.0,20.0
2019,10,18,6,2,20.0,129.6,990.0,23.0
2019,10,18,12,2,20.4,129.3,990.0,23.0
2019,10,18,18,3,20.8,128.6,988.0,25.0
2019,10,19,0,3,21.0,127.8,985.0,28.0
2019,10,19,6,3,21.4,127.3,980.0,30.0
2019,10,19,12,4,21.8,127.2,970.0,35.0
2019,10,19,18,5,22.5,127.5,960.0,42.0
2019,10,20,0,4,23.4,127.9,965.0,40.0
2019,10,20,6,4,24.5,129.1,970.0,38.0
2019,10,20,12,3,25.7,130.1,980.0,30.0
2019,10,20,18,3,27.3,131.4,980.0,30.0
2019,10,21,0,3,29.1,133.0,985.0,25.0
2019,10,21,6,2,30.3,134.0,990.0,23.0
2019,10,21,12,9,31.1,135.2,995.0,20.0
2019,10,21,18,9,31.8,136.8,1000.0,18.0
2019,10,22,0,9,32.1,138.1,1002.0,15.0
