year,month,day,hour,power,lat,lng,PRES,WND
2019,12,20,0,1,4.9,148.6,1002.0,13.0
2019,12,20,6,1,5.0,147.4,1002.0,13.0
2019,12,20,12,1,5.0,146.2,1002.0,13.0
2019,12,20,18,1,5.0,144.9,1002.0,13.0
2019,12,21,0,1,5.0,143.7,1002.0,13.0
2019,12,21,6,1,5.3,142.4,1002.0,13.0
2019,12,21,12,1,6.0,141.1,1000.0,15.0
2019,12,21,18,1,6.8,140.2,1000.0,15.0
2019,12,22,0,2,7.3,139.0,998.0,18.0
2019,12,22,6,2,7.9,137.9,998.0,18.0
2019,12,22,12,2,8.6,136.7,998.0,18.0
2019,12,22,18,2,8.9,135.3,995.0,20.0
2019,12,23,0,2,9.5,133.6,995.0,20.0
2019,12,23,6,2,10.0,132.1,995.0,20.0
2019,12,23,12,2,10.5,131.0,990.0,23.0
2019,12,23,18,3,10.8,129.6,985.0,28.0
2019,12,24,0,3,10.8,128.0,980.0,30.0
2019,12,24,6,4,11.0,126.3,975.0,33.0
2019,12,24,12,5,11.4,124.9,955.0,42.0
2019,12,24,18,5,11.7,123.5,955.0,42.0
2019,12,25,0,5,11.9,122.3,955.0,42.0
2019,12,25,6,5,12.4,121.3,955.0,42.0
2019,12,25,12,4,12.7,120.1,960.0,40.0
2019,12,25,18,4,12.9,119.3,960.0,40.0
2019,12,26,0,4,13.1,118.6,960.0,40.0
2019,12,26,6,4,13.4,118.0,960.0,40.0
2019,12,26,12,4,13.9,117.7,965.0,38.0
2019,12,26,18,4,14.4,117.3,965.0,38.0
2019,12,27,0,4,14.8,116.9,970.0,35.0
2019,12,27,6,3,15.0,116.4,980.0,30.0
2019,12,27,12,3,14.9,116.0,985.0,28.0
2019,12,27,18,2,14.7,115.7,990.0,23.0
2019,12,28,0,2,14.5,115.1,998.0,18.0
2019,12,28,6,1,14.5,113.9,1000.0,15.0
2019,12,28,12,1,14.4,112.9,1002.0,13.0
2019,12,28,18,1,14.5,112.1,1002.0,13.0
2019,12,29,0,1,14.7,111.4,1002.0,13.0
