year,month,day,hour,power,lat,lng,PRES,WND
2019,6,25,12,1,19.7,127.6,1006.0,13.0
2019,6,25,18,1,20.5,128.0,1006.0,13.0
2019,6,26,0,1,21.4,128.4,1006.0,13.0
2019,6,26,6,1,23.0,128.8,1004.0,15.0
2019,6,26,12,1,24.8,129.3,1004.0,15.0
2019,6,26,18,1,26.5,129.9,1002.0,15.0
2019,6,27,0,1,28.5,130.4,1002.0,15.0
2019,6,27,6,2,30.6,131.9,1000.0,18.0
2019,6,27,12,2,32.6,134.8,995.0,20.0
2019,6,27,18,2,34.0,137.9,995.0,20.0
2019,6,28,0,2,35.1,141.4,995.0,20.0
2019,6,28,6,9,35.8,146.7,995.0,20.0
2019,6,28,12,9,36.8,151.0,998.0,18.0
2019,6,28,18,9,38.0,154.1,998.0,18.0
2019,6,29,0,9,38.9,156.3,998.0,15.0
2019,6,29,6,9,39.9,158.9,998.0,15.0
2019,6,29,12,9,41.0,160.4,1002.0,13.0
2019,6,29,18,9,42.3,161.5,1002.0,13.0
