year,month,day,hour,power,lat,lng,PRES,WND
2019,9,17,0,1,20.0,128.9,1002.0,13.0
2019,9,17,6,1,20.8,128.8,1002.0,13.0
2019,9,17,12,1,21.1,128.8,1002.0,13.0
2019,9,17,18,1,21.3,128.8,1002.0,13.0
2019,9,18,0,1,21.4,128.8,1002.0,13.0
2019,9,18,6,1,22.0,129.1,1000.0,15.0
2019,9,18,12,1,22.3,129.5,1000.0,15.0
2019,9,18,18,1,22.5,129.2,1000.0,15.0
2019,9,19,0,1,22.5,128.7,1000.0,15.0
2019,9,19,6,2,22.4,128.6,995.0,18.0
2019,9,19,12,2,22.9,128.1,992.0,20.0
2019,9,19,18,2,22.8,127.2,992.0,20.0
2019,9,20,0,2,23.0,127.1,990.0,23.0
2019,9,20,6,3,23.4,127.1,985.0,25.0
2019,9,20,12,3,23.9,127.2,982.0,28.0
2019,9,20,18,3,25.1,126.2,980.0,30.0
2019,9,21,0,4,26.1,125.7,975.0,33.0
2019,9,21,6,4,27.3,125.6,975.0,33.0
2019,9,21,12,4,28.4,125.7,975.0,33.0
2019,9,21,18,4,29.7,126.1,975.0,33.0
2019,9,22,0,3,30.8,126.8,980.0,30.0
2019,9,22,6,3,32.4,127.8,982.0,28.0
2019,9,22,12,3,33.9,129.5,982.0,28.0
2019,9,22,18,3,35.8,131.6,985.0,25.0
2019,9,23,0,9,38.0,134.9,990.0,23.0
2019,9,23,6,9,39.6,137.5,992.0,20.0
2019,9,23,12,9,41.0,140.0,996.0,18.0
